#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0      12     4483.18     566.34  272973.78 14163588.81     0.0000     0.0730
      1       3     1959.94     638.98   56245.09 15594410.22     0.0000     0.0493
      2       9     3412.73     136.05  292987.90 14518276.72     0.0000     0.0208
      3      12     1481.63     466.81  326015.95 14139257.95     0.0000     0.0315
      4      21     3314.38      93.54  538728.27 14542219.77     0.0000     0.1576
