#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     1683.24      97.78  188909.94 13083833.33     0.0000     0.0230
      1       6     2612.22      28.78  205611.93 14694666.67     0.0000     0.0052
      2       3     4558.41      41.14    5507.57 14390333.33     0.0000     0.0367
      3      12     4218.04      83.91  402428.65 14387500.00     0.0000     0.0935
      4       9     1440.50     408.73  252655.40 13400666.67     0.0000     0.1282
