#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0      15     1200.24     160.15  395705.08 17191408.68     0.0000     0.0363
      1       6     3152.01    1006.61  220561.97 17634652.78     0.0000     0.0855
      2       6     1275.68     188.35  158734.37 17008725.10     0.0000     0.0015
      3       3     1690.63     133.02   77965.25 17308017.91     0.0070     0.0340
      4       6     3539.57     178.07  360875.07 19245611.54     0.0010     0.0053
      5       3     3782.07      97.57   55521.02 17331796.45     0.0020     0.0050
      6       9     1687.54     185.69  259523.05 17387296.36     0.0010     0.0044
      7      12     1468.87      57.18  444767.80 17363501.32     0.0020     0.1300
      8       6     1941.63     263.01  167183.69 15599700.55     0.0000     0.0758
      9       3      846.16     143.25    7931.76 16590514.63     0.0010     0.0067
     10       3     2436.50     162.44   73738.40 17313985.78     0.0010     0.2273
     11      15      631.74     236.09  419735.39 17436476.98     0.0010     0.1028
     12       3     1096.30     111.79   67057.97 16519563.74     0.0030     0.2873
     13      12     2146.02     117.81  538249.00 17311777.31     0.0020     0.0859
     14       9      535.32     240.90  354153.02 17256015.86     0.0060     0.3821
     15       6      972.62     228.08  245849.16 15953314.15     0.0070     0.2010
