#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     1393.13      28.35  297794.50 17259568.12     0.0000     0.0073
      1       3     1282.54     107.19   59883.50 16944269.73     0.0040     0.0047
      2       9     1255.01     123.96  322558.41 17236248.91     0.0000     0.1393
      3       3     1316.04     107.29   78252.91 16979245.51     0.0080     0.0193
      4       3      846.16     143.25    7931.76 16590514.63     0.0000     0.0033
      5       3     1690.63     133.02   77965.25 17308017.91     0.0060     0.0433
      6       9     3598.23      55.73  337214.11 19342565.75     0.0020     0.0053
      7       6     1941.63     263.01  167183.69 15599700.55     0.0000     0.1130
      8       9     2995.86     165.09  310557.12 17802477.93     0.0020     0.3191
      9       3     3782.07     253.09   55521.02 17331796.45     0.0020     0.0047
     10      12     1742.86     205.70  415832.58 17196587.96     0.0060     0.1310
     11       6      972.62     228.08  245849.16 15953314.15     0.0020     0.1760
     12       9      833.54      68.08  305395.66 17251203.03     0.0020     0.0838
     13       6      512.17     127.72  283380.57 17243988.87     0.0040     0.0983
     14       3     2436.50     162.44   73738.40 17313985.78     0.0040     0.2667
     15       6      537.68     201.55  275419.74 18379666.52     0.0060     0.1130
     16      12     2199.16     753.33  425676.98 17416782.11     0.0020     0.2087
     17       3     1096.30      12.04   67057.97 16519563.74     0.0080     0.2927
     18       3      102.43     187.43   73087.32 17472250.26     0.0080     0.3133
     19       6     1255.47      64.65  286504.99 16950265.58     0.0080     0.2283
