#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     1203.24      54.64  201139.66 16532554.75     0.0000     0.1885
      1       3      606.77      89.30   33401.84 16099899.87     0.0000     0.0720
      2       6     1166.40     126.10  160523.76 16859605.15     0.0000     0.0353
