#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6      897.39     297.12  394967.88 16126579.64     0.0000     0.0167
      1       3     1157.50     183.39  127485.25 16973249.66     0.0000     0.0000
      2       6     1351.57      46.22  535658.79 16536811.24     0.0000     0.1333
      3       6     2065.45     138.65  370574.28 15749596.78     0.0000     0.0167
      4       3     1777.53     360.93  524143.14 16815690.25     0.0000     0.1667
      5      12      748.37     301.46  707256.19 16299187.31     0.0000     0.2333
      6       3     2559.10     280.70   97467.13 16167807.26     0.0000     0.1333
      7       6      205.74      79.86  572849.21 16485631.84     0.0000     0.0667
      8       6     1203.24      54.64  201139.66 16532554.75     0.0000     0.1167
      9       3     1456.31      62.27  284613.43 15736106.12     0.0000     0.4333
     10       3     1986.33      44.41  370713.71 16110846.69     0.0000     0.1000
     11       3     1466.33      42.13  369685.96 15885003.04     0.0000     0.1667
     12       3      150.06     195.21  197830.01 15904296.16     0.0000     0.1667
     13       3      783.87     205.31   30326.99 16811361.74     0.0000     0.3667
     14       6     2278.62     142.46  433257.32 16126335.97     0.0000     0.6000
     15       3     1517.75     131.95  124657.44 16650473.12     0.0000     0.0667
     16       6      484.86     286.75  457289.05 17285549.74     0.0000     0.2333
     17       3     1117.79     102.13   55780.02 16865877.62     0.0000     0.0000
     18       3      536.01      60.81  606865.64 16141825.25     0.0000     0.1667
     19       3     1182.96     325.06  157393.42 16607502.87     0.0000     0.4333
     20      12     2088.81     155.03  767822.08 16747064.18     0.0000     0.3500
     21       6      777.30      60.18  574326.65 16753500.00     0.0000     0.1833
     22       3     1701.06     163.45  545888.51 15722115.81     0.0000     0.1667
     23       3     1527.52      98.65  349499.38 16221769.90     0.0000     0.1333
     24       3      618.58      82.04  211454.65 15196479.70     0.0000     0.0000
     25      12      423.35      85.21  904877.46 16026972.70     0.0000     0.1667
