#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     1645.93     163.45  379287.16 15793732.89     0.0020     0.0419
      1       3     1117.79     162.84   55780.02 16865877.62     0.0010     0.0130
      2       3      783.87     205.31   30326.99 16811361.74     0.0010     0.4367
      3       6      168.49      92.61  487436.07 16374771.89     0.0240     0.0938
      4       3      606.77      91.32   33401.84 16099899.87     0.0020     0.0703
      5       6     1203.24      54.64  201139.66 16532554.75     0.0020     0.1943
      6       6      897.39     297.12  394967.88 16126579.64     0.0050     0.0220
      7       3     1806.88     196.78  148450.25 15814052.16     0.0200     0.0767
      8       3     1157.50     183.39  127485.25 16973249.66     0.0060     0.0290
      9       3     1517.75     131.95  124657.44 16650473.12     0.0150     0.0470
     10       6     1643.23     360.93  385099.29 16812567.82     0.0240     0.1595
     11       3     2559.10     280.70   97467.13 16167807.26     0.0160     0.1130
     12       3      150.06     195.21  197830.01 15904296.16     0.0200     0.1753
     13       3      608.85     160.09  153539.40 15343378.00     0.0220     0.1463
     14       3     1010.49     108.48  143690.19 17041475.79     0.0230     0.1423
     15       3     1182.96     325.06  157393.42 16607502.87     0.0250     0.4520
     16       6      484.86     286.75  457289.05 17285549.74     0.0310     0.3330
     17       9      739.21     113.86  556876.96 16619777.78     0.0380     0.5669
     18       3     2165.42     236.49  202317.34 15680144.86     0.0440     0.2003
