#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     4572.45     359.37  316174.09 14094279.32     0.0010     0.0052
      1      15     3514.82     103.53  488854.53 14503555.91     0.0040     0.1127
      2       3     2888.82      49.53   35896.09 15595796.91     0.0000     0.0007
      3       9     1454.05     216.52  362575.94 14191503.07     0.0020     0.0283
      4       6     4031.73      18.80  188994.52 14310093.33     0.0010     0.0418
      5       6     2848.86     244.48  245977.59 14300748.96     0.0010     0.3483
      6      15      667.47      86.33  568361.96 14642586.34     0.0010     0.0440
      7       3     3501.33     301.01   67645.82 13096294.55     0.0010     0.0027
      8       9     1874.51      75.03  391180.73 14227893.87     0.0030     0.2711
      9      21     3200.70     382.45  573119.32 14548511.49     0.0010     0.2687
     10       3     1959.94     638.98   56245.09 15594410.22     0.0030     0.0490
     11       3     4579.53     259.55   54500.49 14454319.71     0.0030     0.0517
     12       6     4807.66     308.96  271505.00 14041166.67     0.0060     0.1998
     13       3     2472.15     106.86   98079.95 13372742.24     0.0070     0.2713
     14       3     3373.60     683.61   80562.61 14136333.33     0.0080     0.4177
     15       3     2812.11     479.74   77746.26 14179800.60     0.0090     0.2747
