#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     1250.64     188.35  228361.05 17062188.09     0.0070     0.0417
      1       6     3554.08      64.05  265129.90 19349351.22     0.0000     0.0043
      2       3     3548.95     165.09  226397.60 17969113.24     0.0120     0.0283
      3       3     1449.73      28.35  124945.50 17259051.81     0.0140     0.1190
      4       6     1141.95      47.22  342246.78 17330956.35     0.0030     0.0300
      5       6     1907.11     197.73  512388.78 17346491.27     0.0010     0.0580
      6       3     2436.50     341.11   73738.40 17313985.78     0.0000     0.2373
      7       3     2032.16     136.44   14788.41 15686140.71     0.0000     0.1177
      8       3     1690.63     177.87   77965.25 17308017.91     0.0070     0.0420
      9       3     1952.09     263.01  197749.43 15610193.29     0.0420     0.1830
     10       3      846.16     143.25    7931.76 16590514.63     0.0000     0.0063
     11       3     3782.07     254.36   55521.02 17331796.45     0.0010     0.0050
     12       6     1245.90      84.59  435349.36 17243380.31     0.0160     0.0680
     13       3     1596.57     205.70  128474.73 17230043.53     0.0220     0.1557
     14       3     1209.13      72.10  188726.44 16863325.76     0.0060     0.0347
     15       3     1940.90     205.56  253963.91 17466907.91     0.0630     0.0867
     16       3     1096.30      12.04   67057.97 16519563.74     0.0020     0.2877
     17       9      700.72     236.09  490369.37 17347523.93     0.0300     0.0913
     18       3     2380.07     117.81  132599.57 17296026.21     0.0180     0.0207
     19       3     1755.63     150.60  310315.36 17183104.38     0.0930     0.1797
     20       3     1323.37     169.58  245286.91 17000230.98     0.0230     0.0500
     21       3      592.35     201.55  138002.25 18572142.77     0.0330     0.1300
     22       6      512.17     173.52  283380.57 17243988.87     0.0120     0.0990
     23       3      102.43     187.43   73087.32 17472250.26     0.0100     0.3287
     24       3      547.82       2.38  113491.53 17603952.93     0.0130     0.0160
     25       3     1023.31     228.08  110121.37 16141234.59     0.0190     0.0773
     26       3     1882.82     326.34  130435.56 17163118.22     0.0160     0.1687
     27       3      419.54      66.11  113146.74 18576768.77     0.0190     0.0877
     28       3     1147.41     194.10  150093.42 17798863.00     0.0260     0.4373
     29      12      291.28      82.28  553018.79 17299840.71     0.0240     0.1279
     30       3      922.60     236.06  146375.10 18444129.77     0.0330     0.2220
     31       3     4004.02     682.33  236030.99 17349009.53     0.0370     0.5587
     32       3     4098.84      35.15  297570.28 19100406.06     0.0420     0.1973
     33       3     2748.96     647.40  234857.56 17549898.46     0.0580     0.2170
     34       3      592.32      27.72  215851.07 17049464.72     0.0620     0.2373
     35       6     1029.12     229.94  432427.73 17868511.94     0.0700     0.4323
     36       3     1586.63       7.58  249392.97 17063187.40     0.0710     0.3380
