#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     4657.29     336.43  332182.35 14437888.89     0.0000     0.3290
      1       9     1621.91      97.78  194327.76 13006444.44     0.0000     0.0633
      2       9     2597.34     154.32  409074.80 14809777.78     0.0000     0.0028
      3      12     4218.04      83.91  402428.65 14387500.00     0.0000     0.0943
      4       9     1440.50     408.73  252655.40 13400666.67     0.0000     0.1353
