#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     3688.37     187.46  272104.02 19363439.97     0.0000     0.0020
      1       3     1282.54      40.63   59883.50 16944269.73     0.0000     0.0033
      2      12     1495.50      28.35  331094.81 17267933.16     0.0000     0.0211
      3      12      949.21     369.80  365815.31 17355021.35     0.0000     0.0550
      4      12     1617.90     133.02  285284.39 17173610.96     0.0000     0.1484
      5       9     2995.86     165.09  310557.12 17802477.93     0.0000     0.2297
      6       3     2032.16     136.44   14788.41 15686140.71     0.0000     0.1170
      7       6     1327.19     107.29  201544.38 16983242.75     0.0000     0.0015
      8       3      846.16     143.25    7931.76 16590514.63     0.0000     0.0050
      9       6     3778.67     254.36  114023.91 17253108.42     0.0000     0.1323
     10      15      631.74     236.09  419735.39 17436476.98     0.0000     0.1097
