#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     11        11       6        542.24        120.94    1305197.45      2.29498     -1.03228     1.0000     0.8050     0.8050
     11        11       9        545.58        120.94    1086324.87      3.09812     -0.05290     1.0000     0.5950     0.5950
     11        11      12        541.29        120.94    1158835.73      2.52842     -0.48545     1.0000     0.6970     0.6970
     11        11      15        533.71        120.94    1043744.22      3.02768      0.20898     1.0000     0.4820     0.4820
     11        11      18        537.44        120.94    1119311.75      3.27690     -0.29809     1.0000     0.6110     0.6110
     12        12       3        803.42        283.64     778146.13      2.62890      1.13068     1.0000     0.4000     0.4000
     12        12       6        628.01        283.64     847191.78      3.20308      1.08391     1.0000     0.2910     0.2910
     12        12       9        577.04        283.64     927335.86      3.10756      0.78229     1.0000     0.3470     0.3470
     12        12      12        535.74        283.64     905564.61      2.90019      1.00341     1.0000     0.2740     0.2740
     12        12      15        491.49        283.64     869420.92      3.04513      1.24778     1.0000     0.1950     0.1950
     12        12      18        499.09        283.64     803230.88      3.57081      1.80890     1.0000     0.0860     0.0860
     13        13       3       1639.52        166.51     198641.26      2.38403      3.15691     1.0000     0.0390     0.0390
     13        13       6       1460.49        166.51     542739.21      3.33977      2.54499     1.0000     0.0520     0.0520
     13        13       9       1349.16        166.51     599481.04      3.68961      2.68397     1.0000     0.0220     0.0220
     13        13      12       1256.89        166.51     555518.00      4.06944      3.23189     1.0000     0.0030     0.0030
     13        13      15       1146.21        166.51     823923.74      3.71247      1.89881     1.0000     0.0840     0.0840
     13        13      18       1080.48        166.51     972502.83      3.12453      1.07029     1.0000     0.2030     0.2030
     14        14       3       1639.52         33.71     198641.26      2.38403      3.15691     1.0000     0.0290     0.0290
     14        14       6       1460.49         33.71     542739.21      3.33977      2.54499     1.0000     0.0550     0.0550
     14        14       9       1349.16         33.71     599481.04      3.68961      2.68397     1.0000     0.0230     0.0230
     14        14      12       1239.18         33.71     535445.74      4.13070      3.34372     1.0000     0.0050     0.0050
     14        14      15       1146.21         33.71     823923.74      3.71247      1.89881     1.0000     0.0790     0.0790
