#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     2255.10     358.85   62598.50 14614882.33     0.0000     0.0000
      1       3     1749.67     177.93   82810.04 14737797.24     0.0000     0.0067
      2       3     1635.52     213.39   93514.11 12780152.48     0.0200     0.0233
      3       3     1641.47     347.05  197074.12 14127219.93     0.0500     0.0800
      4       3     2277.96     214.93   15863.53 14045276.66     0.0000     0.5433
      5       6     1204.26     146.42  417875.27 13873395.65     0.0500     0.1067
      6       3     1143.38     231.00   64507.65 14503959.12     0.0000     0.3800
      7       3     3174.68     249.63   47998.01 13471673.75     0.0100     0.2900
      8       3     1037.73     282.01   98946.65 12803136.57     0.0100     0.2500
      9       3     2832.13     200.33  103112.92 13421708.34     0.0100     0.2167
     10       3     1281.64     275.08  202198.85 14560919.69     0.0400     0.1233
     11       3      539.56     104.59  164540.27 14445999.24     0.0100     0.3633
     12       3      994.82     277.98  197370.33 13843416.40     0.0200     0.0267
     13       3     2490.92     224.68  175175.62 13048966.39     0.0400     0.0400
     14       3     1141.88     351.57  182216.94 14730802.08     0.0400     0.4367
     15       3     1339.68     154.45  166026.57 14438004.78     0.0400     0.5300
     16       6     1636.73     198.89  421292.86 13076447.36     0.0400     0.3967
     17       3     1101.45       7.16  242393.53 14304097.48     0.0500     0.0667
     18       6     1625.69     309.44  407397.62 13152394.79     0.0400     0.2550
     19       3      994.85      23.75  208573.12 13360750.54     0.0600     0.5600
     20       6      763.46      39.62  512823.60 14363556.32     0.0700     0.1517
     21       3      680.03     171.44  228492.21 12627258.33     0.0700     0.3500
