#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     1641.47     347.05  197074.12 14127219.93     0.0570     0.0733
      1       6     1615.09     198.16  210168.55 12863095.06     0.0010     0.0685
      2       3     2277.96     214.93   15863.53 14045276.66     0.0020     0.5813
      3       3     2255.10     202.85   62598.50 14614882.33     0.0040     0.0050
      4       3     1749.67     210.08   82810.04 14737797.24     0.0040     0.0063
      5       3     1143.38     231.00   64507.65 14503959.12     0.0040     0.3630
      6       3     3174.68     249.63   47998.01 13471673.75     0.0050     0.3060
      7       3     1037.73     282.01   98946.65 12803136.57     0.0120     0.2137
      8       9     1040.78      64.14  563855.83 13969995.44     0.0180     0.1417
      9       6     1636.73     198.89  421292.86 13076447.36     0.0410     0.3733
     10       3     2832.13     200.33  103112.92 13421708.34     0.0200     0.2500
     11       3     1281.64     240.09  202198.85 14560919.69     0.0510     0.1163
     12       3      971.21      23.75  159661.18 13527635.01     0.0290     0.5743
     13       3      539.56     104.59  164540.27 14445999.24     0.0320     0.3457
     14       3     2490.92     224.68  175175.62 13048966.39     0.0340     0.0483
     15       3     1339.68     154.45  166026.57 14438004.78     0.0360     0.5387
     16       3     1141.88     351.57  182216.94 14730802.08     0.0430     0.4070
     17       3     1101.45     122.34  242393.53 14304097.48     0.0660     0.0787
     18       6     1625.69     309.44  407397.62 13152394.79     0.0550     0.2762
     19       9      759.43      36.75  528194.65 13024649.89     0.0630     0.5221
