#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3       1615.82        205.43    1688933.44      1.89386     -3.79181     1.0000     0.9900     0.9900
      0         0       6       1543.72        205.43    1603715.84      0.35292     -4.32062     1.0000     0.9900     0.9900
      0         0       9       1540.69        205.43    1370358.54      0.74936     -3.47863     1.0000     1.0000     1.0000
      0         0      12       1572.77        205.43    1218429.54      0.54163     -2.75975     1.0000     1.0000     1.0000
      0         0      15       1598.81        205.43    1123793.63      1.27295     -2.24592     1.0000     0.9900     0.9900
      1         1       3        680.03        171.44     228492.21      1.61757      2.82857     1.0000     0.0300     0.0300
      1         1       6        630.79        171.44     889806.37      0.91886     -0.09596     1.0000     0.5900     0.5900
      1         1       9        596.93        171.44     738781.63      1.33351      0.86677     1.0000     0.3000     0.3000
      1         1      12        614.74        171.44     791842.05      1.13896      0.58523     1.0000     0.4600     0.4600
      1         1      15        645.91        171.44     791587.54      1.05222      0.66516     1.0000     0.3300     0.3300
      2         2       3        959.52          9.44    1038550.48      0.29654     -0.67224     1.0000     0.7500     0.7500
      2         2       6       1012.80          9.44    1149535.28      0.02631     -1.44748     1.0000     0.9100     0.9100
      2         2       9       1039.78          9.44    1053875.08      0.26132     -1.07557     1.0000     0.8000     0.8000
      2         2      12       1015.41          9.44    1029486.05      0.65129     -1.02936     1.0000     0.7900     0.7900
      2         2      15        963.82          9.44     935691.37      1.08822     -0.40966     1.0000     0.7100     0.7100
      3         3       3       2126.98        314.13     748703.28      0.19499      0.31345     1.0000     0.6600     0.6600
      3         3       6       2187.89        314.13     863782.49      0.38756     -0.28733     1.0000     0.5700     0.5700
      3         3       9       2079.12        314.13     841655.57      0.38778     -0.18136     1.0000     0.5600     0.5600
      3         3      12       2015.28        314.13    1096280.48      0.18645     -2.17838     1.0000     0.9300     0.9300
      3         3      15       1949.01        314.13    1024434.84      0.04193     -1.59910     1.0000     0.9300     0.9300
      4         4       3        267.39         55.13    1236439.47      0.09281     -1.67337     1.0000     0.8500     0.8500
      4         4       6        239.66         55.13    1019482.00      0.16501     -0.89803     1.0000     0.7800     0.7800
      4         4       9        229.69         55.13     956900.21      0.20106     -0.63497     1.0000     0.7900     0.7900
      4         4      12        217.53         55.13     908727.57      0.11593     -0.35629     1.0000     0.6500     0.6500
      4         4      15        222.22         55.13     908316.87      0.07027     -0.38628     1.0000     0.7300     0.7300
