#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     3697.04     828.04  340830.08 22634319.92     0.0000     0.0580
      1       9     4395.07     113.20  370362.60 23198940.37     0.0000     0.0756
      2       3     3356.61     581.46   25920.05 22949894.12     0.0000     0.0583
      3       6     5180.69     173.27  167543.01 22817681.15     0.0000     0.0002
      4       3      365.05     133.55   37754.78 22242205.04     0.0000     0.0443
      5       3      740.82      18.36   43504.24 22455856.13     0.0000     0.0013
