#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     1640.65     347.05  177343.56 14051772.16     0.0010     0.2398
      1       3     2277.96     214.93   15863.53 14045276.66     0.0020     0.5797
      2       6     1621.05     198.16  236320.65 12839111.67     0.0020     0.1223
      3       3     3174.68     249.63   47998.01 13471673.75     0.0020     0.2983
      4       6     1620.22     210.08  234595.98 14607387.52     0.0030     0.2957
      5       3     2255.10     202.85   62598.50 14614882.33     0.0040     0.0050
