#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3        388.64        138.79    1582232.68      0.24559     -1.30002     1.0000     0.8410     0.8410
      0         0       6        382.20        138.79    1158778.21      0.00567      0.09147     1.0000     0.5760     0.5760
      0         0       9        419.22        138.79    1131057.00      0.81667      0.23926     1.0000     0.4840     0.4840
      0         0      12        368.29        138.79    1121771.13      0.66863      0.31749     1.0000     0.4680     0.4680
      1         1       3        388.64         70.70    1582232.68      0.24559     -1.30002     1.0000     0.8270     0.8270
      1         1       6        470.21         70.70    1196642.71      0.16090     -0.11806     1.0000     0.6210     0.6210
      1         1       9        416.17         70.70     956438.10      0.41469      1.07517     1.0000     0.2460     0.2460
      1         1      12        485.92         70.70    1017022.81      0.49991      0.81885     1.0000     0.3060     0.3060
      2         2       3        612.94         46.08    1011554.09      0.93334      0.47024     1.0000     0.5170     0.5170
      2         2       6        563.00         46.08    1350829.73      0.33253     -0.83134     1.0000     0.7610     0.7610
      2         2       9        538.12         46.08    1274026.25      0.28954     -0.59204     1.0000     0.7270     0.7270
      2         2      12        619.65         46.08    1140795.19      0.18123      0.06838     1.0000     0.5090     0.5090
      3         3       3        363.42         70.70     542219.48      0.94509      2.07002     1.0000     0.1880     0.1880
      3         3       6        408.85         70.70    1089142.74      1.14424      0.37759     1.0000     0.4860     0.4860
      3         3       9        397.50         70.70    1121727.33      0.66190      0.28393     1.0000     0.4920     0.4920
      3         3      12        409.70         70.70    1158674.19      0.59922      0.11981     1.0000     0.5210     0.5210
      4         4       3        363.42        154.86     542219.48      0.94509      2.07002     1.0000     0.1920     0.1920
      4         4       6        320.48        154.86    1226256.35      0.99171     -0.16092     1.0000     0.6180     0.6180
      4         4       9        374.01        154.86    1121006.30      0.68458      0.28738     1.0000     0.5150     0.5150
      4         4      12        341.92        154.86    1205521.37      0.93248     -0.09927     1.0000     0.5870     0.5870
      5         5       3        612.94        144.52    1011554.09      0.93334      0.47024     1.0000     0.5360     0.5360
      5         5       6        570.55        144.52    1148388.84      0.00598      0.02049     1.0000     0.5930     0.5930
      5         5       9        554.14        144.52    1104795.95      0.76865      0.23758     1.0000     0.5210     0.5210
      5         5      12        529.00        144.52    1217583.05      0.95079     -0.35288     1.0000     0.6570     0.6570
      6         6       3        248.24         26.42     895006.00      1.38678      0.94118     1.0000     0.4370     0.4370
      6         6       6        228.02         26.42     812246.26      2.14831      1.53179     1.0000     0.1990     0.1990
      6         6       9        248.72         26.42    1114930.99      1.87873      0.34281     1.0000     0.4640     0.4640
      6         6      12        266.61         26.42    1201844.29      1.64268     -0.07967     1.0000     0.5860     0.5860
      7         7       3        159.40        242.84    1738241.34      0.27039     -1.77775     1.0000     0.8950     0.8950
      7         7       6        178.08        242.84    1431200.49      0.28788     -0.99885     1.0000     0.8200     0.8200
      7         7       9        241.87        242.84    1200343.50      0.78096     -0.06405     1.0000     0.5800     0.5800
      7         7      12        238.91        242.84    1175542.65      1.57566      0.06053     1.0000     0.5110     0.5110
      8         8       3        775.74        102.70    1051156.56      0.89027      0.23290     1.0000     0.5930     0.5930
      8         8       6        755.87        102.70    1185883.10      0.45280     -0.21056     1.0000     0.6280     0.6280
