#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3        388.64        138.79    1582232.68      0.26139     -1.40225     1.0000     0.8500     0.8500
      0         0       6        382.20        138.79    1158778.21      0.02412     -0.00347     1.0000     0.6900     0.6900
      0         0       9        419.22        138.79    1131057.00      0.86506      0.07501     1.0000     0.5900     0.5900
      0         0      12        368.29        138.79    1121771.13      0.70943      0.19768     1.0000     0.5000     0.5000
      1         1       3        388.64         70.70    1582232.68      0.26139     -1.40225     1.0000     0.8300     0.8300
      1         1       6        470.21         70.70    1196642.71      0.18250     -0.21327     1.0000     0.6500     0.6500
      1         1       9        416.17         70.70     956438.10      0.45088      0.93628     1.0000     0.3100     0.3100
      1         1      12        485.92         70.70    1017022.81      0.53724      0.71335     1.0000     0.2800     0.2800
      2         2       3        612.94         46.08    1011554.09      0.94943      0.37183     1.0000     0.6000     0.6000
      2         2       6        563.00         46.08    1350829.73      0.35696     -0.92901     1.0000     0.8200     0.8200
      2         2       9        538.12         46.08    1274026.25      0.31838     -0.69936     1.0000     0.7700     0.7700
      2         2      12        619.65         46.08    1140795.19      0.21493     -0.11510     1.0000     0.6000     0.6000
      3         3       3        363.42         70.70     542219.48      0.97484      2.03499     1.0000     0.2000     0.2000
      3         3       6        408.85         70.70    1089142.74      1.18538      0.28836     1.0000     0.4700     0.4700
      3         3       9        397.50         70.70    1121727.33      0.69847      0.17686     1.0000     0.5400     0.5400
      3         3      12        409.70         70.70    1158674.19      0.63864     -0.00395     1.0000     0.5600     0.5600
      4         4       3        363.42        154.86     542219.48      0.97484      2.03499     1.0000     0.1400     0.1400
      4         4       6        320.48        154.86    1226256.35      1.02979     -0.26125     1.0000     0.6600     0.6600
      4         4       9        374.01        154.86    1121006.30      0.72160      0.18038     1.0000     0.5600     0.5600
      4         4      12        341.92        154.86    1205521.37      0.97848     -0.22786     1.0000     0.5700     0.5700
      5         5       3        612.94        144.52    1011554.09      0.94943      0.37183     1.0000     0.5500     0.5500
      5         5       6        570.55        144.52    1148388.84      0.01264     -0.06253     1.0000     0.5900     0.5900
      5         5       9        554.14        144.52    1104795.95      0.80573      0.14452     1.0000     0.4800     0.4800
      5         5      12        529.00        144.52    1217583.05      0.99519     -0.46765     1.0000     0.7000     0.7000
      6         6       3        248.24         26.42     895006.00      1.42538      0.88343     1.0000     0.4100     0.4100
      6         6       6        228.02         26.42     812246.26      2.20954      1.46534     1.0000     0.1500     0.1500
      6         6       9        248.72         26.42    1114930.99      1.93958      0.23653     1.0000     0.4600     0.4600
      6         6      12        266.61         26.42    1201844.29      1.70289     -0.20787     1.0000     0.5800     0.5800
      7         7       3        159.40        242.84    1738241.34      0.28665     -1.88990     1.0000     0.9200     0.9200
      7         7       6        178.08        242.84    1431200.49      0.31188     -1.11595     1.0000     0.8400     0.8400
      7         7       9        241.87        242.84    1200343.50      0.81985     -0.17846     1.0000     0.6400     0.6400
      7         7      12        238.91        242.84    1175542.65      1.63453     -0.06486     1.0000     0.5600     0.5600
      8         8       3        775.74        102.70    1051156.56      0.91212      0.19077     1.0000     0.6400     0.6400
      8         8       6        755.87        102.70    1185883.10      0.48437     -0.34907     1.0000     0.6700     0.6700
      8         8       9        700.48        102.70    1241766.85      0.14185     -0.69227     1.0000     0.6900     0.6900
      8         8      12        663.00        102.70    1169445.58      0.10780     -0.27688     1.0000     0.6500     0.6500
      9         9       3        787.54        160.27    1298222.39      0.72064     -0.66390     1.0000     0.7600     0.7600
      9         9       6        778.61        160.27    1174706.05      0.50555     -0.30004     1.0000     0.7300     0.7300
      9         9       9        745.69        160.27    1147470.58      0.15693     -0.21038     1.0000     0.6100     0.6100
      9         9      12        726.48        160.27    1209236.04      0.48461     -0.58865     1.0000     0.7300     0.7300
     10        10       3        612.94         98.54    1011554.09      0.94943      0.37183     1.0000     0.5300     0.5300
     10        10       6        631.41         98.54    1260775.50      0.15593     -0.60794     1.0000     0.7800     0.7800
     10        10       9        642.88         98.54    1155323.12      0.51909     -0.17616     1.0000     0.6100     0.6100
     10        10      12        621.80         98.54    1006155.06      0.83705      0.64520     1.0000     0.3300     0.3300
     11        11       3        130.15         82.13    1431317.86      0.81029     -0.88046     1.0000     0.7700     0.7700
     11        11       6        192.01         82.13    1056513.26      0.73864      0.44665     1.0000     0.4900     0.4900
     11        11       9        183.67         82.13    1369984.13      0.26677     -1.00270     1.0000     0.8200     0.8200
     11        11      12        220.83         82.13    1250093.22      0.91438     -0.47021     1.0000     0.6900     0.6900
     12        12       3        108.84         71.95     476081.43      1.43729      2.26123     1.0000     0.1900     0.1900
     12        12       6        161.80         71.95     993289.84      1.08283      0.71031     1.0000     0.4500     0.4500
     12        12       9        184.37         71.95    1378577.20      0.04328     -1.04445     1.0000     0.8000     0.8000
     12        12      12        214.71         71.95    1268371.51      0.37243     -0.56959     1.0000     0.6900     0.6900
     13        13       3        304.29         86.94     702645.02      1.20992      1.51608     1.0000     0.3800     0.3800
     13        13       6        294.08         86.94     827319.07      2.35267      1.40248     1.0000     0.2100     0.2100
     13        13       9        291.75         86.94     773843.61      2.38893      1.89379     1.0000     0.0500     0.0500
     13        13      12        246.02         86.94    1229300.16      1.20108     -0.35715     1.0000     0.5700     0.5700
     14        14       3        304.29        113.35     702645.02      1.20992      1.51608     1.0000     0.2900     0.2900
     14        14       6        294.08        113.35     827319.07      2.35267      1.40248     1.0000     0.2100     0.2100
     14        14       9        291.75        113.35     773843.61      2.38893      1.89379     1.0000     0.0900     0.0900
     14        14      12        246.02        113.35    1229300.16      1.20108     -0.35715     1.0000     0.6400     0.6400
     15        15       3        304.29         26.42     702645.02      1.20992      1.51608     1.0000     0.3500     0.3500
     15        15       6        294.08         26.42     827319.07      2.35267      1.40248     1.0000     0.1600     0.1600
     15        15       9        291.75         26.42     773843.61      2.38893      1.89379     1.0000     0.1400     0.1400
     15        15      12        388.10         26.42     890671.31      1.87902      1.46036     1.0000     0.1600     0.1600
