#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     2277.96     214.93   15863.53 14045276.66     0.0000     0.5757
      1       6     1640.65     347.05  177343.56 14051772.16     0.0020     0.2345
      2       3     1749.67     210.08   82810.04 14737797.24     0.0100     0.0107
      3       3     1635.52     198.16   93514.11 12780152.48     0.0120     0.0140
      4       3     3174.68     249.63   47998.01 13471673.75     0.0030     0.2963
      5       3     2218.43     197.81   57899.54 14593896.86     0.0050     0.0073
      6       3     1143.38     231.00   64507.65 14503959.12     0.0060     0.3667
      7       3     1037.73     282.01   98946.65 12803136.57     0.0120     0.2157
      8       3     2832.13     200.33  103112.92 13421708.34     0.0130     0.2463
      9       6     1145.65     192.83  397148.26 13746483.51     0.0390     0.2145
     10       9     1573.49     198.89  428538.38 13024649.89     0.0220     0.2868
     11      15      723.47     171.21  557006.76 14070858.95     0.0320     0.2791
     12       3      971.21      23.75  159661.18 13527635.01     0.0330     0.5740
     13       3     1339.68     154.45  166026.57 14438004.78     0.0340     0.5347
     14       3     1281.64     275.08  202198.85 14560919.69     0.0430     0.1153
     15       3     1141.88     351.57  182216.94 14730802.08     0.0420     0.4063
     16       9      759.43      36.75  528194.65 13024649.89     0.0420     0.5180
