#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0      12     4115.29      66.69  364818.38 14347583.33     0.0000     0.1114
      1       6     2612.22      28.78  205611.93 14694666.67     0.0000     0.0065
      2       9     1440.50     408.73  252655.40 13400666.67     0.0000     0.1362
      3       6     1715.10       7.37  200757.98 13054833.33     0.0000     0.1370
      4       9     4657.29     336.43  332182.35 14437888.89     0.0000     0.3264
