#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3       1596.57        205.70     128474.73      0.41452      3.27602     1.0000     0.0150     0.0150
      0         0       6       1589.53        205.70     487364.76      0.48908      2.20231     1.0000     0.0910     0.0910
      0         0       9       1703.17        205.70     444856.22      0.92615      2.83513     1.0000     0.0180     0.0180
      0         0      12       1742.86        205.70     415832.58      1.09677      3.56003     1.0000     0.0040     0.0040
      0         0      15       1683.03        205.70     414955.20      1.20413      3.70094     1.0000     0.0010     0.0010
      0         0      18       1676.56        205.70     603145.30      1.79840      2.41475     1.0000     0.0310     0.0310
      1         1       3       1097.83        221.70     972826.94      0.71262     -0.75188     1.0000     0.7610     0.7610
      1         1       6       1087.23        221.70     689142.92      1.40944      0.73971     1.0000     0.3990     0.3990
      1         1       9       1064.62        221.70     807273.96      0.80294      0.04039     1.0000     0.5370     0.5370
      1         1      12       1072.54        221.70     769983.27      1.72092      0.33537     1.0000     0.4630     0.4630
      1         1      15       1075.09        221.70     802435.96      1.59014      0.09059     1.0000     0.5600     0.5600
      1         1      18       1053.35        221.70     917422.90      1.02398     -0.95618     1.0000     0.8140     0.8140
      2         2       3       1087.46        111.79    1137766.79      0.50583     -1.52823     1.0000     0.8740     0.8740
      2         2       6       1081.98        111.79     801216.12      1.63029      0.07082     1.0000     0.5900     0.5900
      2         2       9       1063.92        111.79     804811.64      1.90856      0.05751     1.0000     0.5410     0.5410
      2         2      12       1040.56        111.79     776238.39      1.89048      0.28670     1.0000     0.4800     0.4800
      2         2      15       1041.23        111.79     751354.73      2.03057      0.52520     1.0000     0.3930     0.3930
      2         2      18       1072.85        111.79     738887.63      1.98806      0.67993     1.0000     0.3350     0.3350
      3         3       3       1067.66        199.63    1065963.87      0.33124     -1.19026     1.0000     0.8460     0.8460
      3         3       6       1059.39        199.63     794118.27      1.59892      0.11319     1.0000     0.5480     0.5480
      3         3       9       1063.92        199.63     804811.64      1.90856      0.05751     1.0000     0.5500     0.5500
      3         3      12       1024.50        199.63     785509.12      2.10407      0.21456     1.0000     0.4870     0.4870
      3         3      15       1031.24        199.63     708172.81      2.22724      0.89261     1.0000     0.2710     0.2710
      3         3      18       1014.29        199.63     759823.31      2.26378      0.48807     1.0000     0.4000     0.4000
      4         4       3        979.41        226.97     875235.20      0.61429     -0.32517     1.0000     0.6860     0.6860
      4         4       6        988.61        226.97     885992.47      0.02063     -0.47703     1.0000     0.7070     0.7070
      4         4       9       1026.73        226.97     864878.88      0.02626     -0.36016     1.0000     0.6460     0.6460
      4         4      12       1040.41        226.97     849167.52      0.98203     -0.28078     1.0000     0.6330     0.6330
      4         4      15       1010.38        226.97     961769.28      1.06816     -1.32988     1.0000     0.8780     0.8780
      4         4      18        986.29        226.97     917782.50      1.80935     -1.02609     1.0000     0.8030     0.8030
      5         5       3        938.96        271.01     294846.23      2.13838      2.42825     1.0000     0.1270     0.1270
      5         5       6        977.30        271.01     791679.40      2.15226      0.09032     1.0000     0.5550     0.5550
      5         5       9        925.94        271.01     667346.45      2.81281      0.97661     1.0000     0.2810     0.2810
      5         5      12        925.53        271.01     865080.23      2.53206     -0.45792     1.0000     0.6960     0.6960
      5         5      15        928.63        271.01    1011774.29      1.37631     -1.75871     1.0000     0.9180     0.9180
      5         5      18        922.04        271.01     981860.13      1.43874     -1.61795     1.0000     0.9080     0.9080
      6         6       3       1342.68        249.07     777766.45      0.12113      0.28551     1.0000     0.5750     0.5750
      6         6       6       1430.10        249.07     747523.61      0.31984      0.53665     1.0000     0.4480     0.4480
      6         6       9       1504.29        249.07     617385.33      0.53518      1.74201     1.0000     0.1180     0.1180
      6         6      12       1418.82        249.07     673384.87      1.07656      1.25776     1.0000     0.2160     0.2160
      6         6      15       1386.59        249.07     749621.67      2.00280      0.74777     1.0000     0.3460     0.3460
      6         6      18       1361.40        249.07     685951.63      2.20723      1.36987     1.0000     0.1450     0.1450
      7         7       3        798.52        128.06    1411808.35      0.53775     -2.90570     1.0000     0.9550     0.9550
      7         7       6        695.42        128.06     906253.82      1.09127     -0.63934     1.0000     0.7130     0.7130
      7         7       9        745.36        128.06     822041.31      0.58278     -0.13766     1.0000     0.5980     0.5980
      7         7      12        725.02        128.06     974509.46      0.03035     -1.35608     1.0000     0.8550     0.8550
      7         7      15        710.84        128.06     941362.68      0.57445     -1.19705     1.0000     0.8510     0.8510
      7         7      18        698.28        128.06     982537.42      0.86468     -1.69151     1.0000     0.9320     0.9320
      8         8       3        616.89         82.67     692311.59      0.44535      0.51828     1.0000     0.5280     0.5280
      8         8       6        606.86         82.67     596485.76      1.73176      1.23791     1.0000     0.2780     0.2780
      8         8       9        588.15         82.67     630872.82      1.79507      1.19636     1.0000     0.2170     0.2170
      8         8      12        593.23         82.67     686880.00      2.00739      0.89973     1.0000     0.2770     0.2770
      8         8      15        544.83         82.67     759559.93      1.77309      0.35136     1.0000     0.4440     0.4440
      8         8      18        567.39         82.67     822404.77      1.24075     -0.20675     1.0000     0.6090     0.6090
      9         9       3        857.90        200.80     877149.76      1.21742     -0.33425     1.0000     0.6870     0.6870
      9         9       6        831.91        200.80     803833.58      1.87853     -0.00805     1.0000     0.5650     0.5650
      9         9       9        843.97        200.80     765795.22      2.08643      0.25860     1.0000     0.4930     0.4930
      9         9      12        814.05        200.80     937845.28      2.18656     -1.06703     1.0000     0.8080     0.8080
      9         9      15        840.16        200.80     887242.86      2.98609     -0.73051     1.0000     0.7480     0.7480
      9         9      18        817.34        200.80     827676.23      2.96558     -0.23374     1.0000     0.6030     0.6030
     10        10       3        447.10        201.81     656331.02      0.45784      0.68680     1.0000     0.4870     0.4870
     10        10       6        438.31        201.81     776678.64      0.89511      0.14074     1.0000     0.5360     0.5360
     10        10       9        452.01        201.81     792114.29      0.84032      0.05487     1.0000     0.5610     0.5610
     10        10      12        457.86        201.81     760544.62      1.78629      0.31111     1.0000     0.4220     0.4220
     10        10      15        444.37        201.81     916002.60      1.09174     -1.00434     1.0000     0.8000     0.8000
     10        10      18        462.58        201.81     927084.24      1.11410     -1.18498     1.0000     0.8420     0.8420
     11        11       3        592.32         27.72     215851.07      0.75973      2.79542     1.0000     0.0810     0.0810
     11        11       6        592.59         27.72     730799.21      0.22676      0.42395     1.0000     0.5020     0.5020
     11        11       9        618.30         27.72     913955.09      0.89045     -0.79924     1.0000     0.7720     0.7720
     11        11      12        640.37         27.72    1030245.33      0.36967     -1.81321     1.0000     0.9170     0.9170
     11        11      15        604.57         27.72     918338.40      0.47813     -1.01583     1.0000     0.8050     0.8050
     11        11      18        574.60         27.72    1006108.89      1.11303     -1.91732     1.0000     0.9320     0.9320
     12        12       3        447.10        202.06     656331.02      0.45784      0.68680     1.0000     0.5070     0.5070
     12        12       6        408.18        202.06     726726.22      0.55443      0.44040     1.0000     0.4720     0.4720
     12        12       9        414.07        202.06    1023306.26      0.43604     -1.57924     1.0000     0.8810     0.8810
     12        12      12        401.05        202.06     939852.81      1.21058     -1.11288     1.0000     0.8320     0.8320
     12        12      15        444.37        202.06     916002.60      1.09174     -1.00434     1.0000     0.8250     0.8250
     12        12      18        462.58        202.06     927084.24      1.11410     -1.18498     1.0000     0.8590     0.8590
     13        13       3        419.54         66.11     113146.74      1.76099      3.28567     1.0000     0.0170     0.0170
     13        13       6        428.76         66.11    1208301.38      1.21867     -2.47784     1.0000     0.9580     0.9580
     13        13       9        407.29         66.11    1099703.47      2.32262     -2.12521     1.0000     0.9520     0.9520
     13        13      12        407.14         66.11    1040512.42      3.16771     -1.90968     1.0000     0.9520     0.9520
     13        13      15        400.01         66.11     942482.63      3.24000     -1.23963     1.0000     0.8600     0.8600
     13        13      18        384.23         66.11     926822.48      3.16659     -1.18918     1.0000     0.8390     0.8390
     14        14       3        360.06        126.31     448271.12      0.96799      1.68062     1.0000     0.3040     0.3040
     14        14       6        354.36        126.31    1079858.20      0.40087     -1.70364     1.0000     0.9120     0.9120
     14        14       9        384.82        126.31     955187.46      0.87153     -1.10295     1.0000     0.8260     0.8260
     14        14      12        401.26        126.31     899219.53      1.89675     -0.79124     1.0000     0.7560     0.7560
     14        14      15        378.80        126.31    1006764.73      1.02492     -1.79602     1.0000     0.9180     0.9180
     14        14      18        355.54        126.31    1049290.06      1.26095     -2.33089     1.0000     0.9790     0.9790
     15        15       3        531.58        164.57    1240818.37      0.54752     -2.10728     1.0000     0.8910     0.8910
     15        15       6        580.32        164.57     842465.87      0.63225     -0.25631     1.0000     0.6180     0.6180
     15        15       9        546.00        164.57     896796.10      0.82709     -0.68247     1.0000     0.7330     0.7330
     15        15      12        546.37        164.57     813682.59      1.08874     -0.10659     1.0000     0.6060     0.6060
     15        15      15        544.06        164.57     788593.52      1.16083      0.10035     1.0000     0.5200     0.5200
     15        15      18        573.62        164.57     773704.24      1.41231      0.24673     1.0000     0.4280     0.4280
     16        16       3        312.54        212.41     472179.09      0.84180      1.56284     1.0000     0.3300     0.3300
     16        16       6        305.46        212.41    1247016.44      0.71013     -2.72959     1.0000     0.9740     0.9740
     16        16       9        349.18        212.41    1107144.62      0.12941     -2.17784     1.0000     0.9530     0.9530
     16        16      12        320.46        212.41    1043519.98      0.10727     -1.94555     1.0000     0.9400     0.9400
     16        16      15        320.02        212.41     982681.14      0.01350     -1.59998     1.0000     0.8970     0.8970
     16        16      18        332.61        212.41     960381.61      0.27423     -1.51511     1.0000     0.8840     0.8840
     17        17       3        752.44        176.90     741807.71      0.92335      0.28944     1.0000     0.5990     0.5990
     17        17       6        636.91        176.90     555720.23      1.22547      1.48496     1.0000     0.2030     0.2030
     17        17       9        653.87        176.90     444422.57      1.49522      2.51587     1.0000     0.0280     0.0280
     17        17      12        715.49        176.90     681141.73      2.48249      0.95678     1.0000     0.2910     0.2910
     17        17      15        702.25        176.90     684886.97      2.85366      1.00102     1.0000     0.2540     0.2540
     17        17      18        681.34        176.90     625563.38      3.07181      1.63019     1.0000     0.1270     0.1270
     18        18       3        330.25         98.36    1533276.94      0.38087     -3.52532     1.0000     0.9850     0.9850
     18        18       6        332.73         98.36    1161558.33      0.80818     -2.20998     1.0000     0.9320     0.9320
     18        18       9        316.21         98.36    1175651.84      1.22938     -2.67458     1.0000     0.9720     0.9720
     18        18      12        284.36         98.36    1171478.42      0.72248     -2.96851     1.0000     0.9860     0.9860
