#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     11        11       6        592.59         27.72     730799.21      0.29412      0.48863     1.0000     0.4360     0.4360
     11        11       9        618.30         27.72     913955.09      0.96755     -0.70499     1.0000     0.7540     0.7540
     11        11      12        640.37         27.72    1030245.33      0.47018     -1.69432     1.0000     0.9220     0.9220
     11        11      15        604.57         27.72     918338.40      0.59075     -0.89996     1.0000     0.7820     0.7820
     11        11      18        574.60         27.72    1006108.89      1.23262     -1.80971     1.0000     0.9280     0.9280
     12        12       3        447.10        202.06     656331.02      0.49655      0.71198     1.0000     0.4720     0.4720
     12        12       6        408.18        202.06     726726.22      0.62423      0.45481     1.0000     0.4780     0.4780
     12        12       9        414.07        202.06    1023306.26      0.52626     -1.56117     1.0000     0.8940     0.8940
     12        12      12        401.05        202.06     939852.81      1.31395     -1.08859     1.0000     0.8180     0.8180
     12        12      15        444.37        202.06     916002.60      1.20352     -0.94083     1.0000     0.7980     0.7980
     12        12      18        462.58        202.06     927084.24      1.23807     -1.11574     1.0000     0.8480     0.8480
     13        13       3        419.54         66.11     113146.74      1.79920      3.28703     1.0000     0.0140     0.0140
     13        13       6        428.76         66.11    1208301.38      1.28724     -2.45953     1.0000     0.9460     0.9460
     13        13       9        407.29         66.11    1099703.47      2.40634     -2.09981     1.0000     0.9420     0.9420
     13        13      12        407.14         66.11    1040512.42      3.26469     -1.88279     1.0000     0.9280     0.9280
     13        13      15        400.01         66.11     942482.63      3.35063     -1.21300     1.0000     0.8680     0.8680
     13        13      18        384.23         66.11     926822.48      3.28989     -1.16097     1.0000     0.8480     0.8480
     14        14       3        360.06        126.31     448271.12      1.01477      1.67206     1.0000     0.2920     0.2920
     14        14       6        354.36        126.31    1079858.20      0.47460     -1.72978     1.0000     0.9040     0.9040
     14        14       9        384.82        126.31     955187.46      0.95999     -1.08089     1.0000     0.8360     0.8360
     14        14      12        401.26        126.31     899219.53      1.99788     -0.76800     1.0000     0.7620     0.7620
     14        14      15        378.80        126.31    1006764.73      1.15109     -1.83076     1.0000     0.9220     0.9220
     14        14      18        355.54        126.31    1049290.06      1.40059     -2.36988     1.0000     0.9760     0.9760
     15        15       3        531.58        164.57    1240818.37      0.49902     -2.03912     1.0000     0.9300     0.9300
     15        15       6        580.32        164.57     842465.87      0.55191     -0.17821     1.0000     0.6480     0.6480
     15        15       9        546.00        164.57     896796.10      0.72715     -0.60969     1.0000     0.6980     0.6980
     15        15      12        546.37        164.57     813682.59      0.96992     -0.03269     1.0000     0.5640     0.5640
     15        15      15        544.06        164.57     788593.52      1.02743      0.17866     1.0000     0.4720     0.4720
     15        15      18        573.62        164.57     773704.24      1.26370      0.32948     1.0000     0.4580     0.4580
     16        16       3        312.54        212.41     472179.09      0.89458      1.53733     1.0000     0.2880     0.2880
     16        16       6        305.46        212.41    1247016.44      0.64536     -2.81500     1.0000     0.9800     0.9800
     16        16       9        349.18        212.41    1107144.62      0.03796     -2.20907     1.0000     0.9500     0.9500
     16        16      12        320.46        212.41    1043519.98      0.00058     -2.03873     1.0000     0.9440     0.9440
     16        16      15        320.02        212.41     982681.14      0.13680     -1.69593     1.0000     0.9360     0.9360
     16        16      18        332.61        212.41     960381.61      0.41311     -1.61611     1.0000     0.9180     0.9180
     17        17       3        752.44        176.90     741807.71      0.85214      0.40444     1.0000     0.5120     0.5120
     17        17       6        636.91        176.90     555720.23      1.13690      1.53415     1.0000     0.2020     0.2020
     17        17       9        653.87        176.90     444422.57      1.38329      2.56170     1.0000     0.0300     0.0300
     17        17      12        715.49        176.90     681141.73      2.29803      1.13135     1.0000     0.2260     0.2260
     17        17      15        702.25        176.90     684886.97      2.63771      1.20582     1.0000     0.1840     0.1840
     17        17      18        681.34        176.90     625563.38      2.83629      1.83167     1.0000     0.0820     0.0820
     18        18       3        330.25         98.36    1533276.94      0.34187     -3.60814     1.0000     0.9720     0.9720
     18        18       6        332.73         98.36    1161558.33      0.89004     -2.28953     1.0000     0.9540     0.9540
     18        18       9        316.21         98.36    1175651.84      1.33600     -2.76839     1.0000     0.9800     0.9800
     18        18      12        284.36         98.36    1171478.42      0.84291     -3.10843     1.0000     0.9940     0.9940
     18        18      15        299.15         98.36    1069634.43      1.31510     -2.45814     1.0000     0.9880     0.9880
     18        18      18        328.36         98.36    1000469.63      1.99353     -1.99459     1.0000     0.9400     0.9400
     19        19       3        409.47        195.29    1260381.03      0.48516     -2.18822     1.0000     0.9120     0.9120
     19        19       6        400.74        195.29     878909.26      0.79100     -0.46615     1.0000     0.6820     0.6820
     19        19       9        456.86        195.29     881748.21      0.42238     -0.52871     1.0000     0.7140     0.7140
     19        19      12        451.47        195.29     795627.60      0.88077      0.08407     1.0000     0.5120     0.5120
     19        19      15        433.95        195.29     725343.69      1.10505      0.66030     1.0000     0.3460     0.3460
     19        19      18        439.88        195.29     732574.74      0.51570      0.68166     1.0000     0.3560     0.3560
     20        20       3        238.20        188.29     800818.12      0.15908     -0.07446     1.0000     0.6360     0.6360
     20        20       6        246.49        188.29     958963.84      1.26018     -1.07137     1.0000     0.8140     0.8140
     20        20       9        252.25        188.29    1021482.74      0.62670     -1.69817     1.0000     0.8700     0.8700
     20        20      12        246.11        188.29    1072126.57      0.32913     -2.30824     1.0000     0.9620     0.9620
     20        20      15        258.36        188.29    1029441.59      0.42033     -2.14801     1.0000     0.9480     0.9480
     20        20      18        237.81        188.29     947128.38      0.28379     -1.53278     1.0000     0.8840     0.8840
     21        21       3        238.20        188.88     800818.12      0.15908     -0.07446     1.0000     0.6460     0.6460
     21        21       6        246.49        188.88     958963.84      1.26018     -1.07137     1.0000     0.8440     0.8440
     21        21       9        225.83        188.88    1022827.49      0.56911     -1.70785     1.0000     0.9000     0.9000
     21        21      12        246.11        188.88    1072126.57      0.32913     -2.30824     1.0000     0.9720     0.9720
     21        21      15        227.12        188.88     954343.10      0.17975     -1.48664     1.0000     0.8900     0.8900
     21        21      18        237.81        188.88     947128.38      0.28379     -1.53278     1.0000     0.9300     0.9300
     22        22       3        655.83        231.67     876017.78      0.75652     -0.29855     1.0000     0.6820     0.6820
     22        22       6        620.20        231.67     858532.16      0.29574     -0.27415     1.0000     0.6560     0.6560
     22        22       9        709.58        231.67     734692.70      0.16371      0.64598     1.0000     0.3720     0.3720
     22        22      12        621.80        231.67     728103.51      0.62967      0.65805     1.0000     0.4020     0.4020
     22        22      15        652.84        231.67     777283.61      0.02190      0.30086     1.0000     0.4500     0.4500
     22        22      18        686.42        231.67     744933.37      0.26667      0.75936     1.0000     0.3040     0.3040
     23        23       3        871.59        100.05     743709.22      1.88905      0.43286     1.0000     0.5300     0.5300
     23        23       6        844.66        100.05     572418.33      3.02934      1.54014     1.0000     0.2080     0.2080
     23        23       9        846.76        100.05     667518.11      3.43767      1.15316     1.0000     0.2480     0.2480
     23        23      12        871.94        100.05     706381.77      3.91541      0.91056     1.0000     0.3040     0.3040
     23        23      15        830.81        100.05     659310.94      4.03015      1.47874     1.0000     0.1580     0.1580
     23        23      18        817.17        100.05     729817.01      4.22416      0.96621     1.0000     0.2500     0.2500
     24        24       3        522.23        173.52     414925.86      0.50132      1.86540     1.0000     0.2400     0.2400
     24        24       6        512.17        173.52     283380.57      0.65876      3.15394     1.0000     0.0140     0.0140
     24        24       9        537.15        173.52     500040.91      0.28700      2.16131     1.0000     0.0600     0.0600
     24        24      12        583.34        173.52     549552.26      0.96821      2.04818     1.0000     0.0860     0.0860
     24        24      15        566.85        173.52     543739.11      1.54041      2.27118     1.0000     0.0320     0.0320
     24        24      18        553.51        173.52     512983.50      1.66630      2.72932     1.0000     0.0100     0.0100
     25        25       3        183.40        195.15     770623.58      1.41314      0.07265     1.0000     0.6220     0.6220
     25        25       6        191.54        195.15     854369.75      0.67243     -0.42523     1.0000     0.6780     0.6780
     25        25       9        171.28        195.15     721156.33      0.63557      0.46335     1.0000     0.4380     0.4380
     25        25      12        187.67        195.15     846815.97      1.43032     -0.49356     1.0000     0.6820     0.6820
     25        25      15        180.47        195.15     976416.77      0.60956     -1.68104     1.0000     0.9240     0.9240
     25        25      18        188.92        195.15     920578.10      0.20243     -1.28094     1.0000     0.8700     0.8700
     26        26       3        331.14        188.35    1194224.02      0.35016     -1.96401     1.0000     0.8980     0.8980
     26        26       6        262.74        188.35     872828.03      0.82694     -0.53926     1.0000     0.7400     0.7400
     26        26       9        319.86        188.35     770309.81      1.14640      0.13538     1.0000     0.5400     0.5400
     26        26      12        256.31        188.35     775549.47      1.60815      0.08043     1.0000     0.5300     0.5300
     26        26      15        259.64        188.35     715047.53      1.68731      0.62076     1.0000     0.3480     0.3480
     26        26      18        261.39        188.35     715156.05      1.47312      0.66758     1.0000     0.3060     0.3060
     27        27       3        917.37        146.40     327079.03      2.60316      2.31002     1.0000     0.1420     0.1420
     27        27       6        957.55        146.40     513362.39      3.61577      1.83358     1.0000     0.1480     0.1480
     27        27       9        895.86        146.40     655190.48      3.69119      1.16444     1.0000     0.2540     0.2540
     27        27      12        890.95        146.40     633573.23      4.73634      1.46883     1.0000     0.1720     0.1720
     27        27      15        848.61        146.40     715621.05      4.39030      1.01419     1.0000     0.2260     0.2260
     27        27      18        822.03        146.40     704182.09      4.51865      1.19400     1.0000     0.1460     0.1460
     28        28       3        990.32        228.08     245925.34      2.27530      2.68641     1.0000     0.0680     0.0680
     28        28       6        925.79        228.08     540896.19      3.34966      1.67165     1.0000     0.1800     0.1800
     28        28       9        906.81        228.08     656981.47      3.57467      1.15217     1.0000     0.2180     0.2180
     28        28      12        890.95        228.08     633573.23      4.73634      1.46883     1.0000     0.1600     0.1600
     28        28      15        843.27        228.08     625985.95      4.80998      1.75367     1.0000     0.0800     0.0800
     28        28      18        799.07        228.08     685709.84      4.58122      1.35814     1.0000     0.1420     0.1420
     29        29       3        322.23         96.99     964692.88      0.43330     -0.85096     1.0000     0.7700     0.7700
     29        29       6        356.54         96.99     826736.24      0.16762     -0.18682     1.0000     0.6140     0.6140
     29        29       9        261.38         96.99     726569.57      0.78074      0.42439     1.0000     0.4260     0.4260
     29        29      12        273.29         96.99     657378.97      0.75599      1.03218     1.0000     0.3000     0.3000
     29        29      15        265.14         96.99     628610.45      1.14397      1.38199     1.0000     0.1620     0.1620
     29        29      18        250.92         96.99     717793.00      1.30525      0.64256     1.0000     0.3440     0.3440
     30        30       3         28.71        147.08     529076.61      0.47132      1.24943     1.0000     0.3520     0.3520
     30        30       6         55.24        147.08     473388.43      0.08691      1.92832     1.0000     0.1220     0.1220
     30        30       9         80.08        147.08     515670.77      0.42937      1.94228     1.0000     0.0940     0.0940
     30        30      12        105.91        147.08     638603.49      1.26834      1.18340     1.0000     0.2220     0.2220
     30        30      15        131.65        147.08     650702.53      1.25120      1.18743     1.0000     0.1860     0.1860
     30        30      18        151.92        147.08     624145.15      0.92702      1.53085     1.0000     0.1380     0.1380
     31        31       3        293.03        161.37     906177.37      0.12565     -0.56721     1.0000     0.7440     0.7440
     31        31       6        265.98        161.37     679009.31      0.16180      0.65807     1.0000     0.4460     0.4460
     31        31       9        265.02        161.37     611788.93      0.05787      1.25049     1.0000     0.2280     0.2280
     31        31      12        289.60        161.37     588093.05      0.45305      1.59022     1.0000     0.1440     0.1440
     31        31      15        266.50        161.37     589752.98      0.09915      1.72419     1.0000     0.1020     0.1020
     31        31      18        252.36        161.37     537443.34      0.05951      2.35326     1.0000     0.0220     0.0220
     32        32       3        971.75        332.07     427184.04      0.23798      1.84572     1.0000     0.2480     0.2480
     32        32       6        845.01        332.07     553811.02      0.11908      1.64782     1.0000     0.1740     0.1740
     32        32       9        960.76        332.07     478626.18      0.33204      2.37423     1.0000     0.0420     0.0420
     32        32      12        943.91        332.07     527339.72      0.29475      2.28338     1.0000     0.0400     0.0400
     32        32      15        947.24        332.07     562449.98      0.00551      2.20237     1.0000     0.0700     0.0700
     32        32      18        975.71        332.07     560516.90      0.49608      2.38957     1.0000     0.0200     0.0200
     33        33       3         39.15        270.92     569060.50      0.38628      1.05464     1.0000     0.4040     0.4040
     33        33       6         67.56        270.92     453277.49      0.19414      2.05256     1.0000     0.1160     0.1160
     33        33       9         90.01        270.92     419879.71      0.14380      2.63171     1.0000     0.0320     0.0320
     33        33      12        105.83        270.92     619524.56      1.06826      1.33707     1.0000     0.1760     0.1760
     33        33      15        131.78        270.92     596586.57      1.46032      1.66401     1.0000     0.1200     0.1200
     33        33      18        153.26        270.92     608145.33      1.46812      1.68262     1.0000     0.1220     0.1220
     34        34       3        805.31        201.32     497520.27      0.69084      1.55643     1.0000     0.2980     0.2980
     34        34       6        792.40        201.32     706964.68      2.51708      0.76151     1.0000     0.4160     0.4160
     34        34       9        825.53        201.32     716214.27      3.65283      0.82484     1.0000     0.3660     0.3660
     34        34      12        773.72        201.32     717845.64      3.69538      0.91074     1.0000     0.3080     0.3080
     34        34      15        775.85        201.32     650874.33      4.13766      1.54834     1.0000     0.1100     0.1100
     34        34      18        777.18        201.32     825776.18      3.86201      0.11355     1.0000     0.4880     0.4880
     35        35       3        311.77         93.46     938326.47      0.18717     -0.72311     1.0000     0.7540     0.7540
     35        35       6        316.96         93.46     644350.24      0.95872      0.89071     1.0000     0.3740     0.3740
