#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     1683.24      97.78  188909.94 13083833.33     0.0000     0.0255
      1       6     2612.22      28.78  205611.93 14694666.67     0.0000     0.0048
      2       6     4155.38      83.91  218541.00 14640166.67     0.0000     0.0072
      3       9     4479.69     112.75  325264.89 14502333.33     0.0000     0.2238
      4       9     1440.50     408.73  252655.40 13400666.67     0.0010     0.1330
      5      12      510.60      51.03  528012.88 14954833.33     0.0020     0.2426
      6      12     1239.18      33.71  535445.74 12819202.62     0.0030     0.0826
      7       3     1408.04     126.89   93564.59 12855666.67     0.0030     0.0087
      8       6     1224.47      92.65  298570.87 14171833.33     0.0040     0.1570
