#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     1209.27     126.10  247995.60 16845338.22     0.0310     0.0540
      1       6     1725.55      87.88  460072.20 15797063.92     0.0190     0.0595
      2       3      606.77      89.30   33401.84 16099899.87     0.0010     0.0750
      3       3      783.87     205.31   30326.99 16811361.74     0.0010     0.4373
      4       3     1183.74      54.64  298575.83 16581520.85     0.0880     0.0923
      5       6      897.39     297.12  394967.88 16126579.64     0.0070     0.0235
      6       3     1110.50      54.22   61170.40 16915289.79     0.0020     0.0093
      7       3      194.41      92.61  289061.21 16525648.74     0.0510     0.0563
      8       3     1806.88     196.78  148450.25 15814052.16     0.0230     0.0700
      9       3     1517.75     131.95  124657.44 16650473.12     0.0160     0.0430
     10       9      132.00     197.17  723118.36 16092004.09     0.0460     0.1771
     11       3      608.85     160.09  153539.40 15343378.00     0.0130     0.1573
     12       3     2559.10     280.70   97467.13 16167807.26     0.0160     0.1220
     13       9     1421.97      46.22  528109.07 16618112.32     0.0390     0.1079
     14       3     1010.49     108.48  143690.19 17041475.79     0.0190     0.1360
     15       3     1182.96     325.06  157393.42 16607502.87     0.0260     0.4493
     16      12     1181.85      84.92  666379.46 16480091.07     0.0580     0.2742
     17       6     1593.90     112.70  388480.21 15987432.13     0.0310     0.3528
     18       3      353.82     150.95  229678.76 17429966.05     0.0330     0.1247
     19       6     2278.62      74.98  433257.32 16126335.97     0.0400     0.5610
     20       3     2165.42     236.49  202317.34 15680144.86     0.0420     0.1940
     21       9      739.21     113.86  556876.96 16619777.78     0.0460     0.5666
     22      15      396.69     161.90  841014.28 16136725.20     0.0110     0.1539
