#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     1117.79     162.84   55780.02 16865877.62     0.0040     0.0120
      1      12     1611.24     163.45  420301.71 15925225.20     0.0000     0.0462
      2       3      606.77      91.32   33401.84 16099899.87     0.0000     0.0693
      3       3      783.87     205.31   30326.99 16811361.74     0.0020     0.4453
      4       6     1203.24      54.64  201139.66 16532554.75     0.0020     0.1960
      5       6      836.45     143.54  262105.99 16076808.27     0.0040     0.1727
      6       6     1998.49     196.78  299605.03 15695634.14     0.0060     0.0847
      7      15      220.50      92.61  660320.41 16115188.83     0.0060     0.0551
      8       6     1451.62     131.95  328764.04 16661965.16     0.0080     0.2760
