#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     1766.40      44.41  412432.91 15818382.50     0.0060     0.1841
      1       3      606.77      89.30   33401.84 16099899.87     0.0000     0.0743
      2       3     1117.79     162.84   55780.02 16865877.62     0.0040     0.0113
      3      15      220.50      92.61  660320.41 16115188.83     0.0020     0.0509
      4       6     1203.24      54.64  201139.66 16532554.75     0.0020     0.1962
      5       9      871.48     131.00  400605.65 16172813.63     0.0030     0.1489
      6       9     1906.49     196.78  345802.51 15821047.32     0.0030     0.3573
      7       3      783.87     205.31   30326.99 16811361.74     0.0030     0.4393
