#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     3598.23     187.46  337214.11 19342565.75     0.0000     0.0004
      1       9     1312.31      79.86  163290.60 16970251.74     0.0000     0.0044
      2       9     2995.86     165.09  310557.12 17802477.93     0.0000     0.2343
      3      12     1495.50      28.35  331094.81 17267933.16     0.0000     0.0203
      4      12     1138.99      47.22  273489.17 17289916.43     0.0000     0.1146
      5       3     2032.16     136.44   14788.41 15686140.71     0.0000     0.1163
      6       3     3782.07      97.57   55521.02 17331796.45     0.0000     0.0020
      7       6     1628.78     130.28  199552.36 17176608.88     0.0000     0.0065
      8       3      846.16     143.25    7931.76 16590514.63     0.0000     0.0040
