#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     1687.54     185.69  259523.05 17387296.36     0.0000     0.0096
      1      12     3497.52     121.63  299017.80 19371568.34     0.0000     0.0447
      2       6     1327.19     107.29  201544.38 16983242.75     0.0000     0.0017
      3       3      846.16     143.25    7931.76 16590514.63     0.0000     0.0013
      4       6     1543.67     177.87  205673.07 17168114.76     0.0000     0.0113
      5      18     1222.41     123.96  403084.71 17257540.56     0.0000     0.0664
      6       9      833.54      68.08  305395.66 17251203.03     0.0000     0.0844
      7       6     1941.63     263.01  167183.69 15599700.55     0.0000     0.1140
