#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     1895.71      97.78  102246.43 13000333.33     0.0060     0.0087
      1       6     2584.48     154.32  204958.21 14705666.67     0.0000     0.0145
      2       3     4793.09     336.43  119005.60 14391666.67     0.0000     0.2323
      3       3     4206.51      83.25  102549.18 14689333.33     0.0090     0.0150
      4       6     1456.39     408.73  289123.96 13372333.33     0.0010     0.1937
      5       6     1439.41     316.35  236180.23 13011500.00     0.0000     0.0343
      6       9      397.02      51.24  416017.78 15095946.08     0.0010     0.0416
      7       9     2309.64     223.92  417124.98 14349333.33     0.0020     0.1893
      8       6     1224.47      92.65  298570.87 14171833.33     0.0020     0.1533
      9      12     1239.18     134.83  535445.74 12819202.62     0.0040     0.0896
     10       3     3568.56     184.66   91248.74 14241666.67     0.0060     0.3673
     11       6     2724.80     116.09  375711.59 15063000.00     0.0070     0.1138
     12       3     4410.65     223.72  137873.13 14863000.00     0.0090     0.0420
