#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
     58       58      6      6     3569.91      75.10  450454.63     0.2510      25   -3260.90    1205.78 14761780.63
     59       59      0      0        0.00       0.00       0.00    -1.0000      -1   -3158.40    1164.94 13019986.45
     60       60      0      0        0.00       0.00       0.00    -1.0000      -1   -2589.93     849.59 16455608.02
     61       61      0      0        0.00       0.00       0.00    -1.0000      -1   -4378.62    1564.20 16905296.71
     62       62      0      0        0.00       0.00       0.00    -1.0000      -1   -3010.45     942.29 16434622.55
     63       63      0      0        0.00       0.00       0.00    -1.0000      -1   -3312.21     925.48 15736106.12
     64       64      0      0        0.00       0.00       0.00    -1.0000      -1   -3300.86     983.96 13700515.33
     65       65      0      0        0.00       0.00       0.00    -1.0000      -1   -2578.90     934.90 16104850.84
     66       66      0      0        0.00       0.00       0.00    -1.0000      -1   -3006.73     804.80 14764778.56
     67       67      6      6     2455.78     419.86  545143.81     0.4220      58   -2503.26     260.60 14953647.81
     68       68      0      0        0.00       0.00       0.00    -1.0000      -1   -3052.61     712.46 13838419.86
     69       69      0      0        0.00       0.00       0.00    -1.0000      -1   -2471.04     645.68 16095857.07
     70       70      0      0        0.00       0.00       0.00    -1.0000      -1   -2972.83     463.57 15004612.52
     71       71      6      6     4416.89     223.55  450083.26     0.0630      54   -4317.44     914.55 15259436.11
     72       72      0      0        0.00       0.00       0.00    -1.0000      -1   -3041.51      74.72 14788761.95
     73       73      0      0        0.00       0.00       0.00    -1.0000      -1   -3133.78     541.56 13391729.10
     74       74      0      0        0.00       0.00       0.00    -1.0000      -1   -3289.62     608.20 14417019.31
     75       75      0      0        0.00       0.00       0.00    -1.0000      -1   -3840.83     545.69 14252133.45
     76       76      0      0        0.00       0.00       0.00    -1.0000      -1   -3491.16     470.05 14731801.39
     77       77      0      0        0.00       0.00       0.00    -1.0000      -1   -3509.44     520.03 13010992.68
     78       78      9      9     3345.17     360.64  610726.52     0.0940      13   -3333.11    -103.95 15199477.62
     79       79      0      0        0.00       0.00       0.00    -1.0000      -1   -3032.89      29.72 13775463.45
     80       80      0      0        0.00       0.00       0.00    -1.0000      -1   -3492.98     331.97 16218771.98
     81       81      9      9     3345.17     360.64  610726.52     0.0710      13   -3269.94      88.24 15712122.72
     82       82      0      0        0.00       0.00       0.00    -1.0000      -1   -4404.46      -6.07 13847413.64
     83       83      0      0        0.00       0.00       0.00    -1.0000      -1   -2871.49     224.36 14399031.76
     84       84      0      0        0.00       0.00       0.00    -1.0000      -1   -3677.18     135.72 13823430.24
     85       85      3      3     3004.58      70.43  291637.97     0.0880      52   -2982.81     277.20 15643170.46
     86       86      0      0        0.00       0.00       0.00    -1.0000      -1   -2881.96     279.30 14018295.34
     87       87      0      0        0.00       0.00       0.00    -1.0000      -1   -3196.61      72.13 13907372.13
     88       88      0      0        0.00       0.00       0.00    -1.0000      -1   -4418.37    -420.56 14324083.64
     89       89      0      0        0.00       0.00       0.00    -1.0000      -1   -3207.15    -268.33 15184488.00
     90       90      0      0        0.00       0.00       0.00    -1.0000      -1   -2935.50    -100.83 14491967.42
     91       91      3      3     3041.65     242.25  257094.25     0.6100      53   -2973.46    -200.81 13397724.95
     92       92      0      0        0.00       0.00       0.00    -1.0000      -1   -4087.08    -576.50 15520255.55
     93       93      0      0        0.00       0.00       0.00    -1.0000      -1   -3739.16    -385.72 15826043.86
     94       94      0      0        0.00       0.00       0.00    -1.0000      -1   -3060.00    -109.52 14692828.37
     95       95      0      0        0.00       0.00       0.00    -1.0000      -1   -4223.27    -955.17 15472288.76
     96       96      9      9     4944.09     585.61  559729.92     0.1800      30   -4332.29    -990.22 14815743.27
     97       97      9      9     4944.09     585.61  559729.92     0.1990      30   -4298.99   -1168.47 13913367.98
     98       98      0      0        0.00       0.00       0.00    -1.0000      -1   -3627.52    -817.05 14656853.27
     99       99      9      9     3345.17     360.64  610726.52     0.0260      13   -3352.23    -159.07 14018295.34
    100      100      3      3     3041.65     242.25  257094.25     0.0610      53   -3039.79    -330.28 13619571.37
    101      101      9      9     3345.17     360.64  610726.52     0.0160      13   -3423.78    -140.90 14099239.30
    102      102      0      0        0.00       0.00       0.00    -1.0000      -1   -3274.60    -509.58 13610577.59
    103      103      0      0        0.00       0.00       0.00    -1.0000      -1   -3234.50    -715.36 14234145.91
    104      104      3      3     2725.58     408.43  127179.51     0.0220      34   -2752.95    -249.70 13388731.17
    105      105      3      3     1976.10      14.45  108796.17     0.0690      22   -1969.74    -333.50 15085556.49
    106      106      0      0        0.00       0.00       0.00    -1.0000      -1   -2787.16    -102.38 13763471.75
    107      107      0      0        0.00       0.00       0.00    -1.0000      -1   -3013.95    -685.69 13646552.69
    108      108      3      3     3376.98     455.00   64016.67     0.0060       3   -3189.95   -1151.17 14563917.61
    109      109      6      6     3439.20      32.65  375896.25     0.2760      10   -3148.49   -1307.92 14833730.82
    110      110      0      0        0.00       0.00       0.00    -1.0000      -1   -3050.96   -1283.62 15930971.22
    111      111      0      0        0.00       0.00       0.00    -1.0000      -1   -1951.46     171.58 15697133.10
    112      112      3      3     2843.34     249.41   31727.05     0.2910       4   -2720.83    -545.34 15589207.82
    113      113      0      0        0.00       0.00       0.00    -1.0000      -1   -2557.36    -414.50 15094550.26
    114      114      0      0        0.00       0.00       0.00    -1.0000      -1   -1966.38    -675.40 12531324.74
    115      115      0      0        0.00       0.00       0.00    -1.0000      -1   -2371.73     162.97 13124913.81
