#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     4612.07      56.62  440116.99 13995833.33     0.0180     0.0613
      1       3     4604.77     382.01  234009.26 14391666.67     0.0510     0.0610
      2       3     4228.63     276.32   74888.13 14276116.85     0.0010     0.0090
      3       3     3376.98     455.00   64016.67 14589922.24     0.0030     0.0050
      4       3     2843.34     249.41   31727.05 15601199.51     0.0000     0.0973
      5       3     3674.89      50.36  236386.56 14996618.06     0.0640     0.0683
      6       6     1593.24     466.81  279377.00 14119087.03     0.0050     0.0387
      7       3     4579.53     259.55   54500.49 14454319.71     0.0010     0.0483
      8       6      650.60      38.39  464318.90 14637866.10     0.0350     0.1033
      9       3     3989.30      79.98  185879.38 14245138.30     0.0120     0.0313
     10       6     3439.20      32.65  375896.25 14507253.16     0.0100     0.0643
     11       3     3501.33     304.36   67645.82 13096294.55     0.0020     0.0030
     12       3     1959.94     639.39   56245.09 15594410.22     0.0020     0.0513
     13       9     3345.17     360.64  610726.52 14603126.11     0.0160     0.0632
     14       3     1845.98      75.03  207012.10 14472020.27     0.0390     0.0817
     15       3     1875.10       5.48   56189.40 14462661.34     0.0030     0.0693
     16       6     2848.86     244.48  245977.59 14300748.96     0.0040     0.3560
     17       3     2812.11     479.74   77746.26 14179800.60     0.0050     0.2673
     18       3     5083.74      35.43   95582.43 13837000.00     0.0050     0.0803
     19       6     4480.94    1110.27  265085.40 14063333.33     0.0050     0.2067
     20      15     4078.55     238.59  621563.74 14661104.42     0.0230     0.2141
     21       3      570.11     318.11  309547.95 14339440.08     0.0370     0.0890
     22       3     1976.10      14.45  108796.17 15208471.39     0.0080     0.0957
     23       3     2472.15     106.86   98079.95 13372742.24     0.0080     0.2707
     24       6      992.05      42.03  388520.04 15220151.94     0.0240     0.0715
     25       6     3569.91      75.10  450454.63 14336463.44     0.0450     0.1977
     26       9      846.36     312.39  600810.68 14590812.09     0.0350     0.1957
     27       3     3111.08     250.84   84102.34 15325390.45     0.0100     0.1087
     28       3     2500.01     142.00  123488.19 14124666.67     0.0120     0.2487
     29       3     1789.77     615.79  116665.00 13879769.95     0.0060     0.0530
     30       9     4944.09     585.61  559729.92 14415679.03     0.0290     0.1281
     31       3     4478.12     117.82  105874.14 13913333.33     0.0130     0.1280
     32       6     2654.18     432.27  351868.68 14352039.26     0.0140     0.3718
     33       3     1012.03      63.33  157678.26 15619691.66     0.0180     0.1053
     34       3     2725.58     408.43  127179.51 13513910.39     0.0150     0.2253
     35       3     2234.01      10.89  147967.34 13505333.33     0.0170     0.0180
     36       6     1719.95     231.39  377308.39 16324698.65     0.0170     0.4132
     37       3      815.67      17.60  269185.14 15407333.72     0.0580     0.1440
     38       6     2401.41     240.50  491206.98 14735500.00     0.0420     0.1125
     39       3     3635.16     189.35  184154.55 13847755.43     0.0290     0.2280
     40       6     1078.61      96.34  402089.29 15223237.58     0.0300     0.5895
     41       3     3287.60     259.02  164210.78 12911339.52     0.0320     0.2827
     42       9     2077.01       2.11  633900.23 13777000.00     0.0760     0.2660
     43       9     1425.55     544.02  556790.69 14042396.43     0.0360     0.3606
     44       9     2212.84      23.65  596301.64 14572622.90     0.0380     0.3400
     45       9     1421.03     368.08  541358.27 15195769.75     0.0390     0.6017
     46       3     4229.83      37.80  175457.58 15429318.51     0.0400     0.2340
     47       3     1583.98     509.71  205115.41 13956333.33     0.0410     0.2793
     48       3      924.82     168.56  218691.01 13890383.89     0.0440     0.0507
     49       3     2751.39     221.75  203645.67 15437312.97     0.0450     0.4047
     50       3     5377.14     530.16  180831.41 15487000.00     0.0460     0.4507
     51       3     1709.65     305.36  223346.48 15477190.43     0.0520     0.1857
     52       3     3004.58      70.43  291637.97 15341723.49     0.0880     0.1323
     53       3     3041.65     242.25  257094.25 13374740.86     0.0610     0.4183
     54       6     4416.89     223.55  450083.26 14641844.17     0.0630     0.2560
     55       3     2539.78     414.99  269348.69 14982161.28     0.0650     0.0693
     56       3     3511.15     336.01  264030.93 13667666.67     0.0660     0.4440
     57       6     2502.26       6.05  532585.64 14554666.67     0.0680     0.3045
     58       6     2455.78     419.86  545143.81 14575839.77     0.0750     0.4363
     59       6     1302.33     533.00  522208.81 14849320.31     0.0860     0.2770
     60       3     1480.78     213.12  322287.35 16350680.66     0.0940     0.0987
