#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     1621.05     213.39  236320.65 12839111.67     0.0000     0.1283
      1       9     1557.15     221.66  463336.44 14122556.49     0.0000     0.2656
      2       3     2255.10     358.85   62598.50 14614882.33     0.0000     0.0100
      3      15      981.41      64.14  523304.77 14055469.60     0.0000     0.2787
      4       9     1573.49     198.89  428538.38 13024649.89     0.0000     0.2900
      5       6     1620.22     210.08  234595.98 14607387.52     0.0000     0.2983
      6       3     3174.68     249.63   47998.01 13471673.75     0.0000     0.3133
      7       3     2277.96     214.93   15863.53 14045276.66     0.0000     0.5900
