#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     3778.72     187.46   75791.84 19419380.24     0.0020     0.0263
      1       3     1316.04      79.86   78252.91 16979245.51     0.0040     0.0187
      2       3     3782.07      97.57   55521.02 17331796.45     0.0010     0.0063
      3       3     1690.63     133.02   77965.25 17308017.91     0.0040     0.0323
      4       3     3507.08    1006.61  139103.27 17753744.34     0.0140     0.1477
      5       6     1533.71     185.69  287281.90 17357983.32     0.0050     0.0102
      6       3     3513.12      65.99  215575.78 19473790.58     0.0210     0.0900
      7       3     1596.57     205.70  128474.73 17230043.53     0.0230     0.1607
      8       9     1126.79     123.96  453561.43 17228922.74     0.0020     0.0877
      9       6     2410.48     753.33  403118.75 17623978.17     0.0140     0.1543
     10       3     1282.54     107.19   59883.50 16944269.73     0.0010     0.0030
     11       3      846.16     143.25    7931.76 16590514.63     0.0000     0.0050
     12       3     1952.09     263.01  197749.43 15610193.29     0.0350     0.1833
     13       3     2000.68      66.09   13067.65 15688139.33     0.0000     0.0000
     14       3      102.43     187.43   73087.32 17472250.26     0.0020     0.3110
     15       6      871.63     120.03  342831.06 17292129.95     0.0080     0.0467
     16       3     1096.30     111.79   67057.97 16519563.74     0.0040     0.2907
     17       3     2436.50     341.11   73738.40 17313985.78     0.0040     0.2343
     18       6      457.59     202.09  267651.65 18424450.12     0.0050     0.4250
     19       3     1097.66     118.94  157925.48 16800369.35     0.0340     0.2670
     20       3     1023.31     228.08  110121.37 16141234.59     0.0240     0.0780
     21       3     1273.14      64.65  141961.57 16874318.15     0.0360     0.0697
     22       3      538.93     240.90   96167.51 17375970.87     0.0150     0.1163
     23       3     1882.82     366.09  130435.56 17163118.22     0.0120     0.1610
     24       3      551.00     225.00  113410.00 17472952.93     0.0140     0.0230
     25       3      502.97      29.98  108050.13 17301022.75     0.0180     0.0870
     26       3      922.60     236.06  146375.10 18444129.77     0.0320     0.2310
     27       3     1147.41     194.10  150093.42 17798863.00     0.0330     0.4377
     28      18      404.50      58.80  563491.91 17202360.75     0.0340     0.0852
     29       3     4004.02     682.33  236030.99 17349009.53     0.0430     0.5753
     30       3     3807.59     354.88  289468.23 19083875.51     0.0470     0.3907
