#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     4523.56     280.57   93991.48 22812043.55     0.0030     0.0063
      1       3      365.05      47.78   37754.78 22242205.04     0.0000     0.0353
      2       6     4298.46     113.20  407658.19 23189685.61     0.0050     0.0367
      3       6     3051.35     985.64  286511.26 22399343.26     0.0000     0.0022
      4       3     5253.93     173.27  117923.16 22780507.38     0.0040     0.0077
      5       3     3356.61     581.46   25920.05 22949894.12     0.0000     0.0597
      6       3      740.82      68.90   43504.24 22455856.13     0.0010     0.0020
      7       3     4565.04      67.34   71396.02 22771623.53     0.0020     0.5550
      8       9     1115.76     177.31  480533.11 23181776.59     0.0050     0.3481
      9       6     4165.86     199.95  379193.07 22739859.02     0.0060     0.2898
     10       3     4862.77     906.70  114678.86 22621716.31     0.0090     0.1893
