#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     2648.09     151.63  143815.85 14646000.00     0.0140     0.0313
      1       6     4351.87      17.23  313419.21 14619000.00     0.0000     0.0230
      2       3     4558.41      41.14    5507.57 14390333.33     0.0000     0.0353
      3      12     1264.78      85.17  707039.65 13670833.33     0.0080     0.1118
      4       6     1509.69     129.19  236616.78 13010500.00     0.0000     0.0225
      5       3     1461.50     408.73  265936.71 13396666.67     0.0350     0.0437
      6       9      355.66      87.39  569666.85 14778838.23     0.0080     0.0467
      7       3     2535.32      66.81  186527.03 14653333.33     0.0390     0.1763
      8       6     2293.66     223.92  453219.04 14287500.00     0.0240     0.1215
      9       3     1102.72      92.65  129839.64 14193666.67     0.0100     0.2033
     10       3     2730.94     107.90  223848.91 13771333.33     0.0300     0.0993
     11       6     1480.83     134.83  323154.47 12401714.30     0.0040     0.0355
     12       3     3852.78     217.66  121309.52 15049000.00     0.0050     0.2360
     13       3     3568.56     184.66   91248.74 14241666.67     0.0060     0.3693
     14       9     1098.54     244.22  644020.34 14604777.78     0.0240     0.2321
     15       3      377.71      23.16  183391.20 15217333.33     0.0210     0.0660
     16       6     2726.54       1.59  370056.98 14965833.33     0.0100     0.1300
     17       3     4410.65     223.72  137873.13 14863000.00     0.0110     0.0473
     18       3     1939.89     307.62  205895.60 15378000.00     0.0200     0.0723
     19       3     1693.00     213.00  141139.41 13438666.67     0.0150     0.2077
     20       3      656.59     326.33  119360.78 15003527.13     0.0150     0.0220
     21       3      337.13       1.87  122891.55 15401333.33     0.0160     0.3770
     22       3      460.75     189.73  150116.31 15405523.76     0.0240     0.2070
     23       6      831.66      22.84  481042.33 14675620.18     0.0240     0.2145
     24       3     4710.48     409.93  211544.32 11836000.00     0.0280     0.5377
     25       6     3094.84     109.68  510732.97 14609166.67     0.0360     0.3105
     26       3     1997.79      90.84  261496.34 14281666.67     0.0450     0.1747
