#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     1640.65     347.05  177343.56 14051772.16     0.0000     0.2277
      1       3     2277.96     214.93   15863.53 14045276.66     0.0000     0.5847
      2       3     1635.52     198.16   93514.11 12780152.48     0.0040     0.0107
      3       3     2255.10     358.85   62598.50 14614882.33     0.0060     0.0080
      4       3     1749.67     266.53   82810.04 14737797.24     0.0040     0.0113
      5       3     3174.68     249.63   47998.01 13471673.75     0.0060     0.3073
      6       3     1143.38     231.00   64507.65 14503959.12     0.0080     0.3813
