#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     2277.96     214.93   15863.53 14045276.66     0.0000     0.5763
      1       6     1640.65     347.05  177343.56 14051772.16     0.0020     0.2395
      2       6     1620.22     210.08  234595.98 14607387.52     0.0020     0.3013
      3       3     3174.68     249.63   47998.01 13471673.75     0.0020     0.3003
      4       3     2303.63     175.86   67989.69 14619878.87     0.0030     0.2337
      5       6     1621.05      51.39  236320.65 12839111.67     0.0030     0.1257
      6       3     1143.38     231.00   64507.65 14503959.12     0.0050     0.3680
      7       3     1037.73     282.01   98946.65 12803136.57     0.0080     0.2313
