#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     4523.56     280.57   93991.48 22812043.55     0.0020     0.0033
      1       9     4395.07     113.20  370362.60 23198940.37     0.0000     0.0763
      2       6     1673.14     118.28  259995.19 22337352.17     0.0010     0.1832
      3       3     3476.77     456.50   38565.51 22983417.91     0.0010     0.0017
      4       6     5044.44     173.27  209971.33 22927484.63     0.0000     0.0530
      5       3      740.82      87.25   43504.24 22455856.13     0.0010     0.0030
      6       3      365.05     133.55   37754.78 22242205.04     0.0010     0.0363
      7       6     3461.51     690.17  271106.66 22552255.90     0.0010     0.1063
