#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     3598.23     187.24  337214.11 19342565.75     0.0000     0.0022
      1       9     2995.86     165.09  310557.12 17802477.93     0.0000     0.3244
      2       9      121.06     248.88  438858.75 17441113.60     0.0000     0.2178
      3       3      538.93     240.90   96167.51 17375970.87     0.0000     0.0867
      4       6     1663.68     133.02  230716.87 17248059.42     0.0000     0.1000
      5       3      846.16     143.25    7931.76 16590514.63     0.0000     0.0067
      6       9     1325.97     160.47  443023.88 16980244.82     0.0000     0.0400
      7       9     2303.74     208.20  432301.44 17382982.01     0.0000     0.2733
      8       9     1312.47      84.59  378937.17 17176290.42     0.0000     0.1400
      9      12     1797.64     197.73  425723.16 17365302.50     0.0000     0.0942
     10       3     1882.82     366.09  130435.56 17163118.22     0.0000     0.1733
     11      12      859.33     120.03  345984.20 17328176.51     0.0000     0.0450
     12      12     1468.87      57.18  444767.80 17363501.32     0.0000     0.1517
     13       6      972.62     228.08  245849.16 15953314.15     0.0000     0.1767
     14       6     1941.63     263.01  167183.69 15599700.55     0.0000     0.1317
     15       3     3782.07      96.34   55521.02 17331796.45     0.0000     0.0100
     16       3     2436.50     162.44   73738.40 17313985.78     0.0000     0.2467
     17       3      547.82       2.38  113491.53 17603952.93     0.0000     0.0133
