#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     3598.23     187.46  337214.11 19342565.75     0.0000     0.0002
      1      12     1495.50      28.35  331094.81 17267933.16     0.0000     0.0227
      2      12      859.33     120.03  345984.20 17328176.51     0.0000     0.0576
      3       9     1261.59     188.35  190208.81 16931278.72     0.0000     0.0284
      4       3     2000.68      95.86   13067.65 15688139.33     0.0000     0.0000
      5      12     1617.90     133.02  285284.39 17173610.96     0.0000     0.1399
      6       3      846.16     143.25    7931.76 16590514.63     0.0000     0.0063
      7       6     3778.67     254.36  114023.91 17253108.42     0.0000     0.1265
      8       6     3152.01    1006.61  220561.97 17634652.78     0.0000     0.0852
