#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     1393.13      28.35  297794.50 17259568.12     0.0000     0.0076
      1       9     3550.00      65.99  337321.03 19344904.47     0.0000     0.0002
      2       9     1078.54      47.22  295753.91 17289545.35     0.0010     0.0348
      3       6     3207.50     165.09  328535.64 17710565.23     0.0000     0.0648
      4       9     2230.11     753.33  436673.39 17513661.54     0.0040     0.0932
      5       6     1307.48     202.09  202528.98 16981244.13     0.0000     0.0012
      6       6     1663.68     133.02  230716.87 17248059.42     0.0000     0.0767
      7       3     2032.16     136.44   14788.41 15686140.71     0.0000     0.1300
      8       6     1172.71      72.10  144508.05 16891806.05     0.0000     0.1147
      9       3      846.16     143.25    7931.76 16590514.63     0.0000     0.0040
     10       3     3782.07     254.36   55521.02 17331796.45     0.0010     0.0037
     11      12     1742.86     205.70  415832.58 17196587.96     0.0020     0.0646
     12       3     2436.50     162.44   73738.40 17313985.78     0.0030     0.2330
     13       3     1096.30      12.04   67057.97 16519563.74     0.0040     0.2910
     14       9      535.32     240.90  354153.02 17256015.86     0.0040     0.3859
