#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     1895.71      97.93  102246.43 13000333.33     0.0000     0.0033
      1      12     3582.76      53.17  541756.76 14482815.57     0.0000     0.0800
      2      18     1063.71      78.81  782111.65 14733594.08     0.0000     0.1539
      3       9     3365.99      47.07  450402.66 14482223.58     0.0000     0.0189
      4       3     3286.96     377.17  103582.50 15152333.33     0.0000     0.0067
      5       3     4037.80      51.86   94375.12 14165193.64     0.0000     0.0100
      6      21     3166.32     431.83  720993.81 14349139.55     0.0000     0.1148
      7      18     4198.74     128.22  561428.34 14545596.96     0.0000     0.0689
      8       3     3852.78     217.66  121309.52 15049000.00     0.0000     0.4533
      9      30     2870.72      34.42  757665.34 14638538.47     0.0000     0.1957
     10       6     1719.95     108.93  377308.39 16324698.65     0.0000     0.2883
     11      15     1429.46      20.20  680481.13 13733945.22     0.0000     0.0647
     12       6     1867.42      75.16  464756.53 14195510.14     0.0000     0.1100
     13      15     2051.75      44.19  719240.35 13990400.00     0.0000     0.1220
     14      15      471.10      51.27  551528.48 14897361.90     0.0000     0.0700
     15      18     2489.45     364.99  742657.14 13799137.94     0.0000     0.2394
     16       3     4349.32     289.42   18317.62 14320086.41     0.0000     0.0000
     17      12     1439.06     120.03  618576.74 13606500.00     0.0000     0.1517
     18       6     2646.89      96.29  288536.77 14648333.33     0.0000     0.0317
     19       6     1224.47      92.72  298570.87 14171833.33     0.0000     0.1167
     20       9     1999.28      14.45  630161.49 14640819.20     0.0000     0.4333
     21       3     2888.82      49.53   35896.09 15595796.91     0.0000     0.0033
     22       3     3501.33      53.94   67645.82 13096294.55     0.0000     0.0033
     23      21     1623.53      83.77  808249.88 14728052.05     0.0000     0.0738
     24       3     2234.01       4.13  147967.34 13505333.33     0.0000     0.0133
     25       3     2390.77     155.60   94769.90 14376333.33     0.0000     0.1933
     26       3     1959.94     628.40   56245.09 15594410.22     0.0000     0.0433
     27       3      656.59     905.00  119360.78 15003527.13     0.0000     0.0067
     28       9     1918.64     455.02  594552.94 15266222.22     0.0000     0.1578
     29       6     1963.75     231.17  468665.66 15381500.00     0.0000     0.3500
     30       9     3639.71      10.34  480196.99 14492892.36     0.0000     0.1544
     31       6     2726.54       1.59  370056.98 14965833.33     0.0000     0.1267
     32       6      355.45      23.16  364221.77 15036500.00     0.0000     0.0850
     33       3     2472.15     106.86   98079.95 13372742.24     0.0000     0.2400
     34      21      853.89     277.84  700150.49 14883498.89     0.0000     0.2448
