#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0      12     1481.63     466.81  326015.95 14139257.95     0.0000     0.0310
      1      15     4594.12      56.62  319522.70 14118111.52     0.0000     0.0799
      2      24      754.95      38.39  544024.40 14610147.85     0.0000     0.0977
      3       6     3403.99     227.51  103062.97 14625751.32     0.0000     0.0210
