#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3       1107.72        241.74     923693.27      0.00677      0.11568     1.0000     0.6150     0.6150
      0         0       6       1160.86        241.74     735042.93      0.92367      1.15016     1.0000     0.2740     0.2740
      0         0       9       1167.03        241.74     710413.73      1.42588      1.48454     1.0000     0.1790     0.1790
      0         0      12       1189.04        241.74     623938.19      1.40385      2.22920     1.0000     0.0470     0.0470
      0         0      15       1178.23        241.74     721880.56      0.73930      1.73417     1.0000     0.0920     0.0920
      0         0      18       1170.36        241.74     935426.69      0.25657      0.21618     1.0000     0.4710     0.4710
      0         0      21       1164.59        241.74    1048702.14      0.25323     -0.70329     1.0000     0.7630     0.7630
      0         0      24       1165.33        241.74    1117227.15      0.38923     -1.34074     1.0000     0.8730     0.8730
      0         0      27       1170.04        241.74    1069682.11      0.75987     -0.97350     1.0000     0.8130     0.8130
      1         1       3       1485.92        274.02     678942.43      1.13272      1.17968     1.0000     0.3710     0.3710
      1         1       6       1454.92        274.02    1269834.12      0.21519     -1.42567     1.0000     0.8960     0.8960
      1         1       9       1458.82        274.02    1088260.96      0.49251     -0.61506     1.0000     0.7020     0.7020
      1         1      12       1449.74        274.02    1088631.16      0.08638     -0.69067     1.0000     0.7340     0.7340
      1         1      15       1452.50        274.02    1005246.51      0.31354     -0.16747     1.0000     0.5970     0.5970
      1         1      18       1434.00        274.02    1032330.94      0.01765     -0.38600     1.0000     0.6660     0.6660
      1         1      21       1398.74        274.02    1154680.41      0.08917     -1.48202     1.0000     0.8960     0.8960
      1         1      24       1369.41        274.02    1092567.41      0.37531     -1.03102     1.0000     0.8170     0.8170
      1         1      27       1365.94        274.02    1126689.87      0.21536     -1.39279     1.0000     0.8760     0.8760
      2         2       3       1795.84        489.29    1487875.31      1.49316     -1.88357     1.0000     0.8960     0.8960
      2         2       6       1778.84        489.29    1055212.05      1.57137     -0.28273     1.0000     0.6720     0.6720
      2         2       9       1774.01        489.29    1198044.74      2.13057     -1.13926     1.0000     0.8300     0.8300
      2         2      12       1809.52        489.29    1235292.66      1.62859     -1.51124     1.0000     0.8880     0.8880
      2         2      15       1787.87        489.29    1263244.87      0.79035     -1.84638     1.0000     0.9370     0.9370
      2         2      18       1809.19        489.29    1172158.02      0.81745     -1.30802     1.0000     0.8670     0.8670
      2         2      21       1812.53        489.29    1141111.00      0.45713     -1.14669     1.0000     0.8400     0.8400
      2         2      24       1808.79        489.29    1141974.62      0.52823     -1.21965     1.0000     0.8540     0.8540
      2         2      27       1822.96        489.29    1151222.81      0.38047     -1.36348     1.0000     0.9160     0.9160
      3         3       3       1719.56        656.54    1565920.10      0.92936     -2.23277     1.0000     0.9190     0.9190
      3         3       6       1755.17        656.54    1245514.72      2.37600     -1.20889     1.0000     0.8490     0.8490
      3         3       9       1750.53        656.54    1308153.07      1.54208     -1.76358     1.0000     0.9170     0.9170
      3         3      12       1731.56        656.54    1366070.74      0.86306     -2.41265     1.0000     0.9550     0.9550
      3         3      15       1711.03        656.54    1304989.47      0.74420     -2.21080     1.0000     0.9520     0.9520
      3         3      18       1727.75        656.54    1333109.96      0.16291     -2.59306     1.0000     0.9740     0.9740
      3         3      21       1715.87        656.54    1237613.00      0.08447     -1.99661     1.0000     0.9550     0.9550
      3         3      24       1704.19        656.54    1172781.29      0.15027     -1.56062     1.0000     0.9110     0.9110
      3         3      27       1713.39        656.54    1111026.18      0.07226     -1.08904     1.0000     0.8430     0.8430
      4         4       3        924.82         58.77     218691.01      0.80271      2.94303     1.0000     0.0560     0.0560
      4         4       6        902.05         58.77     819832.95      0.11689      0.65060     1.0000     0.4240     0.4240
      4         4       9        893.34         58.77     849131.46      0.53321      0.58302     1.0000     0.3640     0.3640
      4         4      12        926.45         58.77     964315.70      1.54271     -0.11729     1.0000     0.5670     0.5670
      4         4      15        944.77         58.77     912063.20      1.82526      0.25356     1.0000     0.4600     0.4600
      4         4      18        954.61         58.77     933639.10      1.90672      0.10330     1.0000     0.5290     0.5290
      4         4      21        960.12         58.77     982900.92      1.79739     -0.30308     1.0000     0.6290     0.6290
      4         4      24        961.14         58.77    1019040.98      1.91717     -0.64092     1.0000     0.7580     0.7580
      4         4      27        965.23         58.77    1040861.83      1.32092     -0.87683     1.0000     0.7740     0.7740
      5         5       3        823.54         29.60     636537.36      0.04584      1.25400     1.0000     0.3690     0.3690
      5         5       6        872.92         29.60     519403.47      0.68344      2.19048     1.0000     0.0760     0.0760
      5         5       9        854.08         29.60     750661.92      0.32415      1.17104     1.0000     0.2490     0.2490
      5         5      12        825.63         29.60     797086.47      0.68842      1.00023     1.0000     0.2830     0.2830
      5         5      15        807.39         29.60     871557.11      0.56414      0.54953     1.0000     0.3790     0.3790
      5         5      18        834.85         29.60     859360.74      0.58689      0.68787     1.0000     0.3440     0.3440
      5         5      21        882.01         29.60     939040.72      1.11166      0.06478     1.0000     0.5430     0.5430
      5         5      24        894.56         29.60     969025.62      1.09808     -0.19740     1.0000     0.5840     0.5840
      5         5      27        873.69         29.60     921968.60      1.27482      0.23105     1.0000     0.4670     0.4670
      6         6       3       1750.62        111.98    1709671.41      1.01153     -2.73484     1.0000     0.9510     0.9510
      6         6       6       1712.52        111.98    1506161.60      0.08615     -2.53795     1.0000     0.9640     0.9640
