#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     4106.58     276.09  246595.06 22731435.85     0.0000     0.0000
      1       3      740.82      18.36   43504.24 22455856.13     0.0000     0.0000
      2       3     3476.77     455.91   38565.51 22983417.91     0.0000     0.0000
      3       3     2022.31     107.64  155844.98 22267689.40     0.0000     0.0100
      4       6     4203.28     164.52  423341.87 23204058.66     0.0000     0.0117
      5       6     4910.73     405.37  235283.26 22853079.14     0.0000     0.0467
      6       3      365.05     133.55   37754.78 22242205.04     0.0000     0.0533
      7       3     4565.04      67.34   71396.02 22771623.53     0.0000     0.5767
      8       6     4165.86     199.95  379193.07 22739859.02     0.0000     0.2533
      9      12     3349.13     248.20  734001.91 23322686.04     0.0000     0.1350
     10       9     1012.45     269.47  476665.94 22509607.26     0.0000     0.2122
