#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       6     4106.58     280.57  246595.06 22731435.85     0.0000     0.0015
      1       9     4395.07     113.20  370362.60 23198940.37     0.0000     0.0784
      2       9     1440.95     118.28  362485.88 22492033.42     0.0000     0.5364
      3       3     3476.77     456.50   38565.51 22983417.91     0.0000     0.0003
      4       6     5044.44     173.27  209971.33 22927484.63     0.0000     0.0517
      5       3      365.05     133.55   37754.78 22242205.04     0.0000     0.0433
