#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     4523.56     280.57   93991.48 22812043.55     0.0030     0.0040
      1       6     4298.46     113.20  407658.19 23189685.61     0.0070     0.0390
      2       3     2022.31     225.92  155844.98 22267689.40     0.0160     0.0173
      3       3     3476.77     456.50   38565.51 22983417.91     0.0000     0.0010
      4       3     5393.75     173.27  200891.81 22859957.38     0.0090     0.0120
      5       3     3036.45     789.92  392511.26 22496261.16     0.0180     0.0763
      6       3     3689.61     828.04  351703.87 22650828.16     0.0100     0.0643
      7       3     5103.35    1378.78  151623.98 22644314.67     0.0110     0.0113
      8       3      365.05     133.55   37754.78 22242205.04     0.0000     0.0367
      9       3      740.82      18.36   43504.24 22455856.13     0.0010     0.0013
     10       3     5088.16      55.62  190317.28 23241013.58     0.0220     0.2977
     11       3     4565.04      67.34   71396.02 22771623.53     0.0030     0.5590
     12       6     4165.86     199.95  379193.07 22739859.02     0.0040     0.2843
     13       6     1011.37     269.47  401404.62 22386861.90     0.0230     0.2178
     14       3     4390.65     496.91  173695.03 22133538.27     0.0090     0.0137
     15       3      889.60      34.64  131198.68 19634359.42     0.0090     0.0137
     16       3      911.42     370.54  140267.48 23310804.27     0.0110     0.3167
     17       6     1094.92     177.31  450765.00 23333477.07     0.0240     0.2513
     18       3     5011.60     140.81  376627.47 22726594.71     0.0650     0.2757
     19       3     3005.60     566.98  213529.65 23121998.97     0.0290     0.2067
     20       3      323.38     126.73  309386.72 23280056.55     0.0640     0.3050
     21       3     3933.78     242.46  369457.22 19313247.72     0.0810     0.1840
     22       9      291.75      86.94  773843.61 23678208.25     0.0780     0.3513
     23       3     1536.60     337.66  361384.77 22671166.08     0.0970     0.2857
