#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3       1708.29         41.85     525085.38      0.34080      1.59311     1.0000     0.2870     0.2870
      0         0       6       1728.73         41.85     683150.94      0.23023      1.16738     1.0000     0.3090     0.3090
      0         0       9       1667.89         41.85     812212.91      0.47794      0.54890     1.0000     0.4190     0.4190
      0         0      12       1642.29         41.85     806942.35      0.08875      0.65132     1.0000     0.3580     0.3580
      0         0      15       1630.29         41.85     736404.56      0.19528      1.25465     1.0000     0.1920     0.1920
      1         1       3       1723.44        166.43    1451394.09      0.70406     -2.34777     1.0000     0.9130     0.9130
      1         1       6       1690.65        166.43    1377624.59      2.31114     -2.57905     1.0000     0.9600     0.9600
      1         1       9       1706.91        166.43    1265823.90      1.61014     -2.30206     1.0000     0.9500     0.9500
      1         1      12       1667.53        166.43    1257416.79      1.30325     -2.51701     1.0000     0.9720     0.9720
      1         1      15       1648.70        166.43    1168012.83      1.55521     -2.06463     1.0000     0.9530     0.9530
      2         2       3       1474.91        308.03    2001034.17      1.47588     -4.53802     1.0000     0.9920     0.9920
      2         2       6       1477.85        308.03    1372745.19      2.31415     -2.42387     1.0000     0.9610     0.9610
      2         2       9       1521.14        308.03    1408806.07      1.47905     -3.04664     1.0000     0.9900     0.9900
      2         2      12       1518.94        308.03    1259589.64      1.63337     -2.37813     1.0000     0.9520     0.9520
      2         2      15       1465.95        308.03    1197211.95      1.03283     -2.12898     1.0000     0.9450     0.9450
      3         3       3       1300.93        118.06     666760.50      0.28606      1.09394     1.0000     0.4040     0.4040
      3         3       6       1366.19        118.06    1378670.02      1.27971     -2.45527     1.0000     0.9560     0.9560
      3         3       9       1390.11        118.06    1188106.01      1.37591     -1.68367     1.0000     0.9120     0.9120
      3         3      12       1397.40        118.06    1239889.59      0.99692     -2.24199     1.0000     0.9580     0.9580
      3         3      15       1384.74        118.06    1103721.63      1.01218     -1.42250     1.0000     0.8800     0.8800
      4         4       3       1504.77        111.79    1447844.72      0.36017     -2.22549     1.0000     0.9250     0.9250
      4         4       6       1525.51        111.79    1070656.88      0.00838     -0.82257     1.0000     0.7750     0.7750
      4         4       9       1486.63        111.79     936234.97      0.11018     -0.12819     1.0000     0.6160     0.6160
      4         4      12       1525.15        111.79     889637.60      0.16152      0.17858     1.0000     0.4830     0.4830
      4         4      15       1522.41        111.79     862710.47      0.63136      0.39874     1.0000     0.4280     0.4280
      5         5       3       1291.67        143.86    2046916.88      0.56978     -4.56340     1.0000     0.9940     0.9940
      5         5       6       1258.15        143.86    1606955.85      0.08805     -3.49969     1.0000     0.9870     0.9870
      5         5       9       1271.13        143.86    1366748.54      0.44234     -2.62273     1.0000     0.9740     0.9740
      5         5      12       1252.75        143.86    1188649.15      0.32453     -1.72810     1.0000     0.9150     0.9150
      5         5      15       1239.44        143.86    1073145.86      0.01767     -1.03372     1.0000     0.8340     0.8340
      6         6       3       1012.71        199.82     679924.25      0.30215      1.09822     1.0000     0.4110     0.4110
      6         6       6       1022.14        199.82    1190417.08      0.35677     -1.20535     1.0000     0.8400     0.8400
      6         6       9       1021.71        199.82    1023676.92      1.08909     -0.41570     1.0000     0.6950     0.6950
      6         6      12        984.77        199.82     960173.97      1.03685      0.08102     1.0000     0.5410     0.5410
      6         6      15        974.74        199.82     854066.05      1.15550      0.84330     1.0000     0.2900     0.2900
      7         7       3       1551.62         18.53     481440.57      0.47907      1.81443     1.0000     0.2290     0.2290
      7         7       6       1499.85         18.53     505943.55      0.71412      2.17084     1.0000     0.0900     0.0900
      7         7       9       1503.05         18.53     610125.21      0.05721      1.88575     1.0000     0.0980     0.0980
      7         7      12       1498.41         18.53     636265.90      0.78716      1.92961     1.0000     0.0980     0.0980
      7         7      15       1530.27         18.53     570968.82      0.97765      2.60334     1.0000     0.0230     0.0230
      8         8       3       1117.79        162.84      55780.02      0.68313      3.60316     1.0000     0.0060     0.0060
      8         8       6       1166.40        162.84     160523.76      1.15768      4.01838     1.0000     0.0020     0.0020
      8         8       9       1116.19        162.84     469054.21      1.06982      2.87266     1.0000     0.0150     0.0150
      8         8      12       1098.05        162.84     799034.74      1.76322      1.02529     1.0000     0.2710     0.2710
      8         8      15       1064.23        162.84     929002.91      0.91316      0.17819     1.0000     0.5060     0.5060
      9         9       3        909.28        274.51     638569.52      0.96598      1.31443     1.0000     0.3340     0.3340
      9         9       6        891.46        274.51     891852.23      0.27954      0.40302     1.0000     0.4880     0.4880
      9         9       9        901.20        274.51     838011.87      0.17592      0.78250     1.0000     0.3450     0.3450
      9         9      12        900.15        274.51     779967.55      0.13071      1.25323     1.0000     0.2230     0.2230
      9         9      15        878.35        274.51     779584.75      0.27295      1.37306     1.0000     0.1800     0.1800
     10        10       3       1012.71        212.85     679924.25      0.30215      1.09822     1.0000     0.3990     0.3990
     10        10       6        973.68        212.85     850095.82      0.02257      0.61136     1.0000     0.4130     0.4130
     10        10       9        921.60        212.85     688010.63      0.02549      1.65443     1.0000     0.1350     0.1350
     10        10      12        952.39        212.85     925974.28      1.16993      0.30348     1.0000     0.4680     0.4680
     10        10      15        946.47        212.85     870290.10      1.28543      0.72790     1.0000     0.3270     0.3270
     11        11       3        882.10        157.41     679276.33      0.79165      1.15426     1.0000     0.3980     0.3980
     11        11       6        852.55        157.41     871948.02      0.84278      0.59265     1.0000     0.4190     0.4190
     11        11       9        840.24        157.41     920915.96      0.17005      0.41174     1.0000     0.4550     0.4550
     11        11      12        854.40        157.41     814900.09      0.08054      1.13606     1.0000     0.2410     0.2410
     11        11      15        864.48        157.41     834067.42      0.16346      0.98554     1.0000     0.2610     0.2610
     12        12       3        985.81        199.82     745728.50      0.38222      0.89279     1.0000     0.4520     0.4520
