#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3       1708.29         41.85     525085.38      0.34080      1.59311     1.0000     0.2660     0.2660
      0         0       6       1728.73         41.85     683150.94      0.23023      1.16738     1.0000     0.2780     0.2780
      0         0       9       1667.89         41.85     812212.91      0.47794      0.54890     1.0000     0.3780     0.3780
      0         0      12       1642.29         41.85     806942.35      0.08875      0.65132     1.0000     0.3700     0.3700
      0         0      15       1630.29         41.85     736404.56      0.19528      1.25465     1.0000     0.1920     0.1920
      1         1       3       1723.44        166.43    1451394.09      0.70406     -2.34777     1.0000     0.9340     0.9340
      1         1       6       1690.65        166.43    1377624.59      2.31114     -2.57905     1.0000     0.9620     0.9620
      1         1       9       1706.91        166.43    1265823.90      1.61014     -2.30206     1.0000     0.9640     0.9640
      1         1      12       1667.53        166.43    1257416.79      1.30325     -2.51701     1.0000     0.9740     0.9740
      1         1      15       1648.70        166.43    1168012.83      1.55521     -2.06463     1.0000     0.9500     0.9500
      2         2       3       1474.91        308.03    2001034.17      1.47588     -4.53802     1.0000     0.9920     0.9920
      2         2       6       1477.85        308.03    1372745.19      2.31415     -2.42387     1.0000     0.9580     0.9580
      2         2       9       1521.14        308.03    1408806.07      1.47905     -3.04664     1.0000     0.9760     0.9760
      2         2      12       1518.94        308.03    1259589.64      1.63337     -2.37813     1.0000     0.9540     0.9540
      2         2      15       1465.95        308.03    1197211.95      1.03283     -2.12898     1.0000     0.9540     0.9540
      3         3       3       1300.93        118.06     666760.50      0.28606      1.09394     1.0000     0.4280     0.4280
      3         3       6       1366.19        118.06    1378670.02      1.27971     -2.45527     1.0000     0.9480     0.9480
      3         3       9       1390.11        118.06    1188106.01      1.37591     -1.68367     1.0000     0.9120     0.9120
      3         3      12       1397.40        118.06    1239889.59      0.99692     -2.24199     1.0000     0.9540     0.9540
      3         3      15       1384.74        118.06    1103721.63      1.01218     -1.42250     1.0000     0.8960     0.8960
      4         4       3       1504.77        111.79    1447844.72      0.36017     -2.22549     1.0000     0.9320     0.9320
      4         4       6       1525.51        111.79    1070656.88      0.00838     -0.82257     1.0000     0.7540     0.7540
      4         4       9       1486.63        111.79     936234.97      0.11018     -0.12819     1.0000     0.5960     0.5960
      4         4      12       1525.15        111.79     889637.60      0.16152      0.17858     1.0000     0.5040     0.5040
      4         4      15       1522.41        111.79     862710.47      0.63136      0.39874     1.0000     0.4540     0.4540
      5         5       3       1291.67        143.86    2046916.88      0.56978     -4.56340     1.0000     0.9920     0.9920
      5         5       6       1258.15        143.86    1606955.85      0.08805     -3.49969     1.0000     0.9820     0.9820
      5         5       9       1271.13        143.86    1366748.54      0.44234     -2.62273     1.0000     0.9680     0.9680
      5         5      12       1252.75        143.86    1188649.15      0.32453     -1.72810     1.0000     0.9320     0.9320
      5         5      15       1239.44        143.86    1073145.86      0.01767     -1.03372     1.0000     0.8100     0.8100
      6         6       3       1012.71        199.82     679924.25      0.30215      1.09822     1.0000     0.4360     0.4360
      6         6       6       1022.14        199.82    1190417.08      0.35677     -1.20535     1.0000     0.8680     0.8680
      6         6       9       1021.71        199.82    1023676.92      1.08909     -0.41570     1.0000     0.6660     0.6660
      6         6      12        984.77        199.82     960173.97      1.03685      0.08102     1.0000     0.5340     0.5340
      6         6      15        974.74        199.82     854066.05      1.15550      0.84330     1.0000     0.3100     0.3100
      7         7       3       1551.62         18.53     481440.57      0.47907      1.81443     1.0000     0.2400     0.2400
