#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3      740.82      68.90   43504.24 22455856.13     0.0000     0.0010
      1       3     5253.93      94.95  117923.16 22780507.38     0.0040     0.0080
      2       6     3051.35     789.92  286511.26 22399343.26     0.0000     0.0025
      3       3     3356.61     581.46   25920.05 22949894.12     0.0000     0.0550
      4       3     4067.63     284.22  140883.41 22832665.27     0.0090     0.0260
      5       6     4298.46     113.20  407658.19 23189685.61     0.0070     0.0388
      6       3      365.05     133.55   37754.78 22242205.04     0.0000     0.0393
      7       3     4565.04      67.34   71396.02 22771623.53     0.0010     0.5483
      8       3     5088.16      55.62  190317.28 23241013.58     0.0220     0.2947
      9       6     1301.78     502.24  372153.66 22530068.76     0.0030     0.3598
     10       3     4862.77     906.70  114678.86 22621716.31     0.0090     0.1960
     11       6     1011.37     269.47  401404.62 22386861.90     0.0160     0.2155
     12       6     4165.86     199.95  379193.07 22739859.02     0.0060     0.2868
     13       6     1094.92     177.31  450765.00 23333477.07     0.0290     0.2542
     14       3      889.60     130.49  131198.68 19634359.42     0.0110     0.0130
     15       3      911.42     370.54  140267.48 23310804.27     0.0140     0.3167
     16       3     4390.65     496.91  173695.03 22133538.27     0.0160     0.0187
     17       6     2468.97     105.35  517794.28 22375941.96     0.0190     0.2045
